Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shaquille O'Neal*,C,28,LAL,74,2924,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,,11.1,3.9,14.9,0.245,,7,0.7,7.7,7.1
2,Vince Carter,SF,24,TOR,75,2979,25,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2,1.9,8.2,30.7,,10.3,2.6,12.9,0.208,,7.6,0.1,7.6,7.2
3,Tracy McGrady*,SG,21,ORL,77,3087,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,,8.3,3.9,12.2,0.189,,6.5,0.5,7,7
4,Karl Malone*,PF,37,UTA,81,2895,24.7,0.572,0.004,0.503,5,23.3,14.3,24.1,1.7,1.7,12.9,30,,9.1,4,13.1,0.217,,5.5,1.1,6.6,6.3
5,Chris Webber*,PF,27,SAC,70,2836,24.7,0.516,0.017,0.282,7,22.1,14.8,20.6,1.7,2.8,9.6,31.6,,5.8,5.2,11,0.186,,4,1.4,5.5,5.3
6,Kobe Bryant*,SG,22,LAL,68,2783,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23,2.1,1.1,11.1,31.8,,9.2,2.2,11.3,0.196,,5.1,-0.3,4.8,4.7
7,Allen Iverson*,SG,25,PHI,71,2979,24,0.518,0.169,0.397,1.9,8.3,5.2,23,3.2,0.5,10,35.9,,7.3,4.5,11.8,0.19,,5,1.1,6.1,6.1
8,Kevin Garnett*,PF,24,MIN,81,3202,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12,27,,7,4.8,11.8,0.176,,4.5,1.4,6,6.4
9,Tim Duncan*,PF,24,SAS,82,3174,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,,6.2,7.1,13.2,0.2,,2.9,1.8,4.7,5.4
10,David Robinson*,C,35,SAS,80,2371,23.7,0.559,0.001,0.571,10.4,22,16.5,8.8,1.8,5.8,10.6,22.8,,6.4,5.7,12.1,0.246,,2.5,2.7,5.2,4.3
