Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shaquille O'Neal*,C,26,LAL,49,1705,30.6,0.584,0.001,0.563,13.1,22.6,18,14.4,1.1,3.5,10,32.4,,7.2,1.9,9,0.255,,7.5,-0.4,7.1,3.9
2,Karl Malone*,PF,35,UTA,49,1832,25.6,0.577,0.001,0.602,7.7,22.1,15.4,23,1.9,1.2,13.8,30.5,,6.2,3.4,9.6,0.252,,5.3,1.4,6.7,4
3,David Robinson*,C,33,SAS,49,1554,24.9,0.564,0.002,0.689,11.4,23.4,17.8,12.1,2.4,5.3,13.6,23.8,,4,4.4,8.4,0.261,,3.2,3.5,6.7,3.4
4,Alonzo Mourning*,C,28,MIA,46,1753,24.6,0.563,0.003,0.667,12.3,22,17.5,8.7,1.1,7.7,14.5,27.1,,4,3.9,7.9,0.216,,2.5,2.2,4.7,3
5,Grant Hill*,SF,26,DET,50,1852,23.9,0.543,0.017,0.473,4.3,19.3,11.7,33.6,2.4,1.2,16,29.6,,4.5,2.8,7.3,0.189,,4.8,1.4,6.2,3.8
6,Shawn Kemp,PF,29,CLE,42,1475,23.6,0.578,0.003,0.677,11.4,22,16.8,14.9,1.8,2.5,14.5,28.9,,4.2,2.1,6.3,0.205,,3.8,0.4,4.2,2.3
7,Tim Duncan*,PF,22,SAS,50,1963,23.2,0.541,0.008,0.424,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,,4,4.7,8.7,0.213,,2.7,1.8,4.5,3.2
8,Charles Barkley*,PF,35,HOU,42,1526,23.1,0.546,0.05,0.532,13.7,25.1,19.8,22.1,1.5,0.6,13.9,22.2,,4.8,2,6.8,0.215,,4.3,0.3,4.5,2.5
9,Hakeem Olajuwon*,C,36,HOU,50,1784,23.1,0.559,0.018,0.375,7.4,22.8,15.7,9.5,2.5,4.8,14.1,25.9,,3.2,3.3,6.5,0.175,,1.4,1.8,3.2,2.3
10,Gary Payton*,PG,30,SEA,50,2008,23.1,0.519,0.304,0.299,3.5,10.6,7,41.3,2.9,0.4,12.9,27.1,,6,1.2,7.2,0.172,,5.1,0,5.1,3.6
11,Jason Kidd*,PG,25,PHO,50,2060,22.5,0.527,0.176,0.342,4.8,14.5,9.6,44,3,0.7,15.7,21.4,,5.8,2.3,8.1,0.188,,4.4,1.1,5.5,3.9
12,Kevin Garnett*,PF,22,MIN,47,1780,22.4,0.493,0.016,0.229,9.7,22,15.4,21.3,2.3,3.5,12,27.8,,2.4,3,5.4,0.146,,3.6,1.7,5.3,3.3
13,Darrell Armstrong,PG,30,ORL,50,1502,22.2,0.575,0.362,0.341,4,10,7,40.8,3.9,0.2,20.8,22.9,,3.8,2.7,6.4,0.205,,4.2,2.4,6.7,3.3
14,Allen Iverson*,SG,23,PHI,48,1990,22.2,0.508,0.188,0.449,3.8,10.1,6.9,24.2,3,0.3,11.7,32.6,,4.3,2.9,7.2,0.173,,5.1,0.6,5.7,3.9
15,John Stockton*,PG,36,UTA,50,1410,21.9,0.571,0.122,0.412,2.9,9.3,6.3,48.3,3.2,0.7,18.5,20.1,,4.2,2.2,6.4,0.217,,4.1,1.9,6.1,2.8
16,Antonio McDyess,C,24,DEN,50,1937,21.7,0.515,0.01,0.383,9.7,22.8,16,8.7,2,4.2,11.8,27.3,,2.9,1.3,4.2,0.105,,1.4,-0.7,0.7,1.3
17,Stephon Marbury,PG,21,TOT,49,1895,20.8,0.519,0.223,0.315,2,6.6,4.2,44,1.6,0.3,14,27.2,,4.5,0.8,5.3,0.134,,4.3,-1.6,2.7,2.2
18,Gary Trent,PF,24,DAL,45,1362,20.8,0.51,0.008,0.39,10.4,18.6,14.5,11,1.1,1.2,8.6,26,,3,1,4,0.14,,2.6,-1.4,1.2,1.1
19,Shareef Abdur-Rahim,SF,22,VAN,50,2021,20.7,0.53,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,,3.7,0.9,4.6,0.108,,2.9,-0.9,2,2.1
20,Tracy McGrady*,SF,19,TOR,49,1106,20.6,0.504,0.091,0.408,12.4,16.7,14.6,19.1,2.5,4.5,15,21.9,,1.8,1.4,3.3,0.143,,2.9,1.1,4.1,1.7
21,Arvydas Sabonis*,C,34,POR,50,1349,20.4,0.546,0.05,0.366,7.8,25.2,16.8,16.2,1.4,3.5,13.3,21.7,,3,2.9,5.8,0.207,,1.8,2.4,4.3,2.1
22,Rik Smits,C,32,IND,49,1271,20.2,0.527,0.003,0.209,6.9,18.5,12.8,8.7,0.8,3,9.8,28.9,,2.3,1.2,3.4,0.13,,1.3,-0.7,0.6,0.9
23,Rod Strickland,PG,32,WAS,44,1632,20.2,0.488,0.07,0.391,3.9,11.4,7.6,45.9,2.5,0.2,16.7,24,,2.8,1.3,4.1,0.12,,3.4,-0.3,3.1,2.1
24,Tom Gugliotta,PF,29,PHO,43,1563,20,0.545,0.012,0.38,9.6,19,14.2,13.6,2,1,11.6,22.4,,3.7,1.7,5.4,0.165,,2,-0.2,1.8,1.5
25,Glenn Robinson,SF,26,MIL,47,1579,19.7,0.523,0.104,0.213,5.7,15.3,10.5,12.5,1.6,2.1,11.4,28.2,,2.5,1.5,4,0.122,,2.7,-0.8,1.9,1.5
26,Shawn Bradley,C,26,DAL,49,1294,19.6,0.527,0.011,0.33,11.2,22.9,17,5.2,1.5,8.9,12.3,16.1,,2.1,2.2,4.2,0.157,,0,2.3,2.3,1.4
27,Vince Carter,SF,22,TOR,50,1760,19.6,0.516,0.086,0.35,6.1,12.6,9.3,17.2,1.7,3.3,11.1,25.6,,3.6,1.4,5,0.136,,3.1,-0.4,2.8,2.1
28,Keith Van Horn,PF,23,NJN,42,1576,19.6,0.519,0.07,0.396,7.6,18.1,12.6,8.3,1.4,2.4,13.1,28.5,,2.3,1.4,3.7,0.113,,2,-0.8,1.2,1.3
29,Terrell Brandon,PG,28,TOT,36,1217,19.5,0.463,0.093,0.154,2.5,10.6,6.4,44,2.8,0.6,12,23,,1.9,1.2,3.2,0.126,,2.6,0.6,3.2,1.6
30,Chris Webber*,PF,25,SAC,42,1719,19.5,0.491,0.044,0.224,9.2,24.2,16.7,17.8,1.7,3.3,14.8,24.9,,1,2.7,3.6,0.102,,0.8,1.1,1.9,1.7
31,Patrick Ewing*,C,36,NYK,38,1300,19.4,0.491,0.004,0.407,7,26.5,17.1,7,1.3,6,12.9,28.4,,0.2,3.1,3.3,0.123,,0.1,1.8,1.9,1.3
32,Michael Finley,SF,25,DAL,50,2051,19.2,0.517,0.155,0.258,3.8,10.7,7.2,19.9,1.7,0.5,9.9,24.2,,4.4,0.9,5.4,0.126,,2.8,-0.9,2,2.1
33,Paul Pierce*,SF,21,BOS,48,1632,19.2,0.54,0.315,0.301,7.8,13.6,10.6,12.3,2.6,2.2,13.4,23.1,,2.9,2,4.9,0.144,,3.4,0.3,3.7,2.3
34,Ray Allen*,SG,23,MIL,50,1719,18.9,0.564,0.309,0.29,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,0.146,,3.5,-1,2.4,1.9
35,Kobe Bryant*,SG,20,LAL,50,1896,18.9,0.549,0.13,0.375,3.3,12.7,8.1,17.5,2,1.9,14.7,25.3,,3.7,1.5,5.2,0.13,,2.1,-0.1,2.1,1.9
36,Tim Hardaway*,PG,32,MIA,48,1772,18.8,0.511,0.414,0.198,1.1,8.7,5.2,39.6,1.8,0.3,13.8,26.5,,3.4,1.9,5.4,0.146,,4.2,-0.9,3.3,2.4
37,Dikembe Mutombo*,C,32,ATL,50,1829,18.8,0.584,0,0.843,12.4,26.5,19.5,5.7,0.5,6,16.9,14.3,,3.7,4.2,7.9,0.206,,1.3,2.5,3.7,2.6
38,Danny Fortson,PF,22,DEN,50,1417,18.7,0.564,0.008,0.598,16.6,31.3,23.7,4,1.2,1.1,13.6,18,,3.6,0.7,4.4,0.148,,0.4,-2.3,-1.9,0
39,Reggie Miller*,SG,33,IND,50,1787,18.7,0.59,0.41,0.368,1.7,7.2,4.5,11.4,1.2,0.4,8.9,22.9,,6,0.4,6.4,0.172,,4.3,-1.2,3.2,2.3
40,Toni Kukoč*,SF,30,CHI,44,1654,18.6,0.49,0.183,0.287,4.4,18.4,11.1,31.8,1.6,0.5,12.5,27.5,,1.3,1.5,2.8,0.082,,3.3,-0.3,3,2.1
41,Lawrence Funderburke,PF,28,SAC,47,936,18.5,0.597,0.017,0.401,11.4,13.6,12.5,5.3,1.2,1.6,12.9,18.4,,2.4,0.7,3.1,0.159,,1.7,-0.9,0.7,0.6
42,Eddie Jones,SF-SG,27,TOT,50,1881,18.5,0.546,0.239,0.455,3.2,8.7,6.1,17.3,3.5,2.2,11.5,20,,3.8,2.2,6,0.153,,2.3,2.1,4.4,3
43,Detlef Schrempf,SF,36,SEA,50,1765,18.4,0.573,0.157,0.443,5,19.4,12.1,18,1.2,1.1,13.6,19.5,,4.7,1.1,5.8,0.158,,2.1,-0.1,2,1.8
44,Clifford Robinson,SF,32,PHO,50,1740,18.3,0.559,0.221,0.372,4.5,10.8,7.6,12.8,2.3,2.6,10.7,21.8,,3.6,1.7,5.3,0.146,,2.2,0.6,2.8,2.1
45,Jerome Williams,PF,25,DET,50,1154,18.2,0.558,0,0.641,16.6,20.4,18.5,3.4,3,0.5,11.4,14.8,,2.9,1.9,4.8,0.201,,1.9,-0.1,1.7,1.1
46,Elden Campbell,C,30,TOT,49,1459,18.1,0.528,0.002,0.578,10.5,21.1,16,8.8,1.4,3.6,12.1,21.3,,2.3,1.9,4.3,0.14,,0.2,-0.3,-0.1,0.7
47,Chris Mullin*,SF,35,IND,50,1179,18.1,0.616,0.423,0.248,2.6,13.3,8.1,12.2,2.2,0.8,12.7,19.1,,3.1,1,4.1,0.167,,3.5,0.9,4.5,1.9
48,Vlade Divac*,C,30,SAC,50,1761,18,0.533,0.077,0.458,8.4,21.5,15,19.2,1.2,1.8,16.4,19.4,,3.1,2.1,5.2,0.142,,1.2,0.9,2.2,1.8
