Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Russell Westbrook,PG,28,OKC,81,2802,30.6,0.554,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,,8.5,4.6,13.1,0.224,,8.7,2.4,11.1,9.3
2,Kevin Durant,PF,28,GSW,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,,8,4,12,0.278,,6.7,2.2,8.9,5.7
3,Kawhi Leonard,SF,25,SAS,74,2474,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,,8.9,4.7,13.6,0.264,,7.1,2.2,9.4,7.1
4,Anthony Davis,C,23,NOP,75,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,,5.9,5.1,11,0.195,,4.4,1.4,5.9,5.4
5,James Harden,PG,27,HOU,81,2947,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,,11.5,3.6,15,0.245,,7.5,1.2,8.7,8
6,LeBron James,SF,32,CLE,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,,9.8,3,12.9,0.221,,6.4,1.2,7.6,6.7
7,Isaiah Thomas,PG,27,BOS,76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,,10.9,1.6,12.5,0.234,,7.8,-1.1,6.7,5.6
8,Nikola Jokić,C,21,DEN,73,2038,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,,7.7,2,9.7,0.228,,5.9,1.4,7.3,4.8
9,Chris Paul,PG,31,LAC,61,1921,26.2,0.614,0.385,0.331,2.4,15,8.8,46.8,3.1,0.3,14,24.4,,7.9,2.6,10.6,0.264,,6.3,2.5,8.7,5.2
10,Giannis Antetokounmpo,SF,22,MIL,80,2845,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,,7.9,4.5,12.4,0.21,,4.9,2.4,7.3,6.7
11,Karl-Anthony Towns,C,21,MIN,82,3030,25.9,0.618,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,,9.9,2.8,12.7,0.201,,5.5,-0.7,4.7,5.2
12,DeMarcus Cousins,C,26,TOT,72,2465,25.8,0.562,0.253,0.468,7,29.2,18.2,25.8,2,3.4,13.5,36.5,,3.9,3.8,7.6,0.149,,5,1.8,6.8,5.5
13,Jimmy Butler,SF,27,CHI,76,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,,10.1,3.8,13.8,0.236,,5.6,1.7,7.3,6.6
14,Stephen Curry,PG,28,GSW,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,,8.7,3.9,12.6,0.229,,6.7,0.3,6.9,5.9
15,Damian Lillard,PG,26,POR,75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,,8.8,1.5,10.4,0.185,,6.1,-1.1,5,4.8
16,DeMar DeRozan,SG,27,TOR,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,,6.7,2.4,9,0.166,,4.1,-1,3,3.3
17,Enes Freedom,C,24,OKC,72,1533,23.7,0.599,0.052,0.387,14.1,20.8,17.4,7.9,1,2,12.5,27.3,,4,1.8,5.8,0.183,,3,-1.3,1.7,1.4
18,Rudy Gobert,C,24,UTA,81,2744,23.3,0.681,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,,8.3,6,14.3,0.25,,2.2,2.2,4.4,4.4
19,Mike Conley,PG,29,MEM,69,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,,7.5,2.5,10,0.209,,6,0.8,6.8,5.1
20,John Wall,PG,26,WAS,78,2836,23.2,0.541,0.19,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,,5.8,3,8.8,0.149,,4.6,0.1,4.7,4.8
21,Kyrie Irving,PG,24,CLE,72,2525,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,,7.4,1.5,8.9,0.17,,4.7,-1.3,3.4,3.4
22,Kyle Lowry,PG,30,TOR,60,2244,22.9,0.623,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,,7.8,2.3,10.1,0.216,,5.8,0.4,6.1,4.6
23,Blake Griffin,PF,27,LAC,61,2076,22.6,0.569,0.116,0.434,6.2,20.2,13.4,24.5,1.4,0.9,10.9,28,,5.4,2.4,7.7,0.179,,4.2,0.5,4.7,3.5
24,Hassan Whiteside,C,27,MIA,77,2513,22.6,0.579,0,0.368,12.8,35.3,24,3.8,1.1,5,12,22.7,,4.2,5.3,9.5,0.181,,0.9,0.5,1.5,2.2
25,Gordon Hayward,SF,26,UTA,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9,18.2,1.5,0.6,9.4,27.6,,7.1,3.3,10.4,0.199,,4.6,0.5,5,4.5
26,DeAndre Jordan,C,28,LAC,81,2570,21.8,0.673,0.003,0.737,13.3,34.6,24.2,5.7,1,4.3,13.1,15.3,,7.2,4.6,11.8,0.221,,2.5,0.9,3.3,3.5
27,Clint Capela,C,22,HOU,65,1551,21.4,0.638,0,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12,19.9,,3.8,2.1,5.9,0.184,,1.3,-0.1,1.2,1.2
28,Lou Williams,SG,30,TOT,81,1994,21.4,0.593,0.447,0.458,1.4,9.9,5.5,19.9,1.9,0.8,11.8,29.1,,5.1,1,6.1,0.148,,4.6,-0.7,3.9,3
29,Kemba Walker,PG,26,CHO,79,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,,5.9,2.2,8.1,0.142,,4.9,-0.8,4.1,4.2
30,Kevin Love,PF,28,CLE,60,1885,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,,4,2.4,6.4,0.163,,3.3,-1.2,2.1,1.9
31,Greg Monroe,C,26,MIL,81,1823,21.1,0.572,0.006,0.329,10.8,23.1,17,17.3,2.6,1.8,14.4,24.3,,3,2.6,5.6,0.147,,1.3,0.5,1.8,1.7
32,Andre Drummond,C,23,DET,81,2409,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6,2.6,3.1,12.5,22.4,,1.4,5.3,6.7,0.133,,0.1,0.8,1,1.8
33,Dwight Howard,C,31,ATL,74,2199,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,,3.8,4.5,8.3,0.181,,0.6,0.8,1.4,1.9
