Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Anthony Davis,PF,21,NOP,68,2455,30.8,0.591,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,,9.9,4.2,14,0.274,,6.6,2.3,8.9,6.7
2,Russell Westbrook,PG,26,OKC,67,2302,29.1,0.536,0.196,0.445,5.9,16.7,11.4,47,3,0.5,14.3,38.4,,7.5,3.2,10.6,0.222,,6.9,1.2,8.1,5.8
3,Stephen Curry,PG,26,GSW,80,2613,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,,11.5,4.1,15.7,0.288,,8.2,1.7,9.9,7.9
4,James Harden,SG,25,HOU,81,2981,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,,12.2,4.2,16.4,0.265,,7,1.8,8.8,8.1
5,Chris Paul,PG,29,LAC,82,2857,26,0.596,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,,12.9,3.2,16.1,0.27,,6.4,1.6,8,7.2
6,LeBron James,SF,30,CLE,69,2493,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,,7.4,2.9,10.4,0.199,,6.1,1,7.1,5.7
7,DeMarcus Cousins,C,24,SAC,59,2013,25.2,0.545,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4,16.3,34.1,,2.8,3.2,6,0.144,,2.8,1.5,4.3,3.2
8,LaMarcus Aldridge,PF,29,POR,71,2512,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,,4.9,3.7,8.6,0.165,,3.2,-0.3,2.9,3.1
9,Blake Griffin,PF,25,LAC,67,2356,22.8,0.551,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,,6.6,2.4,9,0.183,,3.8,0.2,4,3.6
10,Pau Gasol,PF,34,CHI,78,2681,22.7,0.55,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,,6,4.4,10.4,0.187,,2.9,0.6,3.5,3.7
11,Brook Lopez,C,26,BRK,72,2100,22.7,0.558,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,,4.7,2.2,7,0.159,,1.8,-0.7,1.2,1.6
12,Tim Duncan*,C,38,SAS,77,2227,22.6,0.56,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,,4.9,4.7,9.6,0.207,,2.3,2.8,5.1,4
13,Kawhi Leonard,SF,23,SAS,64,2033,22,0.567,0.234,0.307,4.8,20.6,12.9,13,3.7,1.8,9.4,23,,4.2,4.4,8.6,0.204,,2.8,3.1,5.9,4.1
14,Derrick Favors,PF,23,UTA,74,2280,21.8,0.558,0.007,0.362,10,20.7,15.4,9.4,1.4,4.3,10.2,23.8,,5,3.3,8.3,0.175,,1.9,0.6,2.5,2.6
15,Marc Gasol,C,30,MEM,81,2687,21.7,0.558,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,,5.5,4.7,10.2,0.182,,2.7,2.4,5.1,4.8
16,Rudy Gobert,C,22,UTA,82,2158,21.6,0.627,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,,5,4.3,9.3,0.206,,1.7,2.5,4.2,3.4
17,Kyrie Irving,PG,22,CLE,75,2730,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,,8.4,2,10.4,0.183,,4.4,-0.4,4.1,4.2
18,Nikola Vučević,C,24,ORL,74,2529,21.5,0.548,0.005,0.181,10.4,26,18.1,11,1.1,1.7,10.2,26,,4.5,2.5,7,0.133,,2,-1.2,0.9,1.8
19,Andre Drummond,C,21,DET,82,2502,21.4,0.504,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,,3.4,4.3,7.7,0.147,,0.6,-0.7,-0.1,1.2
20,Al Horford,C,28,ATL,76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,,5.1,3.6,8.7,0.179,,2.6,1.5,4.1,3.6
21,Dwyane Wade,SG,33,MIA,62,1971,21.4,0.534,0.094,0.341,3.6,9.6,6.7,32.1,2,0.9,14.4,34.7,,2.1,1.4,3.5,0.086,,3.5,-1.4,2.1,2.1
22,Jimmy Butler,SG,25,CHI,65,2513,21.3,0.583,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,,8.2,3,11.2,0.214,,3.4,1.2,4.6,4.2
23,Greg Monroe,PF,24,DET,69,2137,21.2,0.549,0,0.394,11.2,25.1,17.9,11.7,1.9,1.3,13,23.9,,4,2.8,6.8,0.153,,2,0,2,2.1
24,DeAndre Jordan,C,26,LAC,82,2820,21,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,,7.4,5.4,12.8,0.217,,2.2,0.7,2.9,3.5
25,Klay Thompson,SG,24,GSW,77,2455,20.8,0.591,0.42,0.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,,5.7,3.1,8.8,0.172,,4.5,-0.1,4.4,4
26,Damian Lillard,PG,24,POR,82,2925,20.7,0.56,0.421,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,,7.3,3.3,10.6,0.174,,4.3,0.3,4.7,4.9
27,Jeff Teague,PG,26,ATL,73,2228,20.6,0.566,0.233,0.36,1.6,7.7,4.7,37.9,2.9,1.2,16.6,25.3,,5,2.8,7.7,0.166,,2.7,0.3,2.9,2.8
28,Isaiah Thomas,PG,25,TOT,67,1726,20.6,0.579,0.434,0.437,2.1,7.7,4.9,27.2,1.6,0.2,13.1,27.8,,5,1.1,6.1,0.169,,4.1,-0.9,3.2,2.3
29,Jonas Valančiūnas,C,22,TOR,80,2096,20.6,0.623,0.002,0.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,,5.8,2.4,8.2,0.189,,1.4,-0.9,0.5,1.3
30,Enes Freedom,C,22,TOT,75,2135,20.3,0.564,0.048,0.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,,4.3,2.1,6.4,0.145,,1.6,-2.5,-0.9,0.6
31,Gordon Hayward,SF,24,UTA,76,2618,20.2,0.567,0.304,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,,5.8,2.9,8.7,0.159,,3.5,0.5,4,4
32,Tyson Chandler,C,32,DAL,75,2286,20.1,0.697,0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16,12.8,,7.2,3.1,10.3,0.216,,2.4,0.2,2.6,2.7
33,Ed Davis,PF,25,LAL,79,1840,20,0.594,0,0.403,13.3,23.1,18,8.3,1.4,4.3,9.5,14.8,,4.6,1.6,6.3,0.164,,1.4,0.1,1.5,1.6
34,Paul Millsap,PF,29,ATL,73,2390,20,0.565,0.232,0.362,6.9,20,13.6,15.4,2.8,2.4,13.3,23.8,,4,4.3,8.3,0.166,,1.7,1.7,3.4,3.3
35,John Wall,PG,24,WAS,79,2837,19.9,0.523,0.186,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,,3.6,4.2,7.8,0.132,,2.6,1,3.6,4
36,Lou Williams,SG,28,TOR,80,2016,19.9,0.564,0.482,0.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27,,5.4,1.1,6.6,0.157,,3.5,-0.9,2.6,2.3
37,Chris Bosh*,C,30,MIA,44,1556,19.8,0.548,0.226,0.311,3.6,20,12,12,1.4,1.4,10.1,28.4,,2.1,1.5,3.6,0.111,,2.5,-1.3,1.3,1.3
38,Rudy Gay,SF,28,SAC,68,2408,19.7,0.556,0.197,0.352,4.8,13.7,9.4,19,1.5,1.3,12.4,27,,4.8,1.3,6.1,0.122,,3.4,-0.7,2.7,2.9
