Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shaquille O'Neal*,C,27,LAL,79,3163,30.6,0.578,0.001,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,,11.7,7,18.6,0.283,,7.3,2,9.3,9
2,Karl Malone*,PF,36,UTA,82,2947,27.1,0.582,0.005,0.501,7.1,24.7,16.1,20.9,1.4,1.9,11.4,31.9,,10.7,4.5,15.3,0.249,,6.4,1.1,7.5,7.1
3,Alonzo Mourning*,C,29,MIA,79,2748,25.8,0.596,0.003,0.492,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,,7.3,5.6,12.9,0.226,,3.1,2.2,5.3,5
4,Tim Duncan*,PF,23,SAS,74,2875,24.8,0.555,0.009,0.471,10.8,24.8,18.1,15.5,1.2,4,13.5,28.7,,6.7,6.4,13,0.218,,3.8,1.8,5.6,5.5
5,David Robinson*,C,34,SAS,80,2557,24.6,0.568,0.002,0.496,9,24.5,17.1,10.3,2,4.9,11.6,25.6,,6.2,6.4,12.7,0.238,,3.1,2.7,5.8,5
6,Grant Hill*,SF,27,DET,74,2776,24.5,0.565,0.069,0.425,4.1,16.4,10.2,26.8,1.9,1.1,12.4,30.5,,8.1,2.6,10.7,0.185,,5.4,0.1,5.4,5.2
7,Kevin Garnett*,PF,23,MIN,81,3243,23.6,0.545,0.053,0.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,,6.1,5.6,11.6,0.172,,4.6,1.7,6.3,6.8
8,Gary Payton*,PG,31,SEA,82,3425,23.6,0.535,0.312,0.254,3.2,13.9,8.5,37.7,2.3,0.4,10.8,26.8,,10.5,3.5,13.9,0.195,,5.8,0.7,6.4,7.3
9,Vince Carter,SF,23,TOR,82,3126,23.4,0.543,0.139,0.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30,,9.1,2.7,11.8,0.182,,5.6,-0.1,5.5,5.9
10,Chris Webber*,PF,26,SAC,75,2880,23.4,0.53,0.061,0.267,6.8,21.8,14.3,21.1,2,2.9,11.2,28.2,,5.7,5,10.7,0.179,,3.6,2.1,5.7,5.6
11,John Stockton*,PG,37,UTA,82,2432,22.4,0.591,0.167,0.354,2.3,8.3,5.4,48.1,3.1,0.5,17.6,19.3,,8.2,3.1,11.2,0.222,,5,1.7,6.6,5.3
12,Kobe Bryant*,SG,21,LAL,66,2524,21.7,0.546,0.122,0.341,4.6,12.9,8.8,22.4,2.2,1.7,11.8,26.8,,6.1,4.5,10.6,0.202,,3.5,1.6,5.1,4.5
13,Sam Cassell,PG,30,MIL,81,2899,21.1,0.551,0.077,0.38,2.8,9.3,6.1,41.1,1.8,0.2,16.4,25,,8.4,0.8,9.2,0.152,,3.6,-1.4,2.2,3.1
14,Terrell Brandon,PG,29,MIN,71,2587,20.8,0.535,0.127,0.2,2,8.8,5.4,39.1,2.7,0.8,14,23,,5.8,2.8,8.6,0.159,,3.9,0.3,4.3,4.1
15,Stephon Marbury,PG,22,NJN,74,2881,20.7,0.528,0.177,0.407,2.3,7.2,4.6,39,2,0.4,14.8,28.2,,6.1,1.2,7.4,0.123,,3.8,-1.3,2.4,3.2
16,Ray Allen*,SG,24,MIL,82,3070,20.6,0.57,0.288,0.282,3.2,10.5,6.8,17,1.9,0.5,10.3,25.6,,9,1,10.1,0.157,,4.7,-1.1,3.6,4.3
17,Elton Brand,PF,20,CHI,81,2999,20.6,0.528,0.002,0.41,13.3,18.4,15.8,11.8,1.2,3.3,12.9,27,,4.2,3.3,7.5,0.121,,2.2,-0.9,1.3,2.5
18,Arvydas Sabonis*,C,35,POR,66,1688,20.3,0.568,0.032,0.331,7.1,27.6,17.9,12,1.4,3.4,12.4,21.4,,3.6,3.5,7.1,0.203,,1.7,1.9,3.6,2.4
19,Shareef Abdur-Rahim,SF,23,VAN,82,3223,20.2,0.547,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,,6.2,2.6,8.8,0.132,,2.6,-0.4,2.2,3.4
20,Allen Iverson*,SG,24,PHI,70,2853,20,0.496,0.151,0.358,2.7,7.7,5.2,23,2.6,0.1,10.3,34.4,,3.3,3.6,6.9,0.116,,3.4,-0.2,3.2,3.8
21,Tracy McGrady*,SF,20,TOR,79,2462,20,0.509,0.064,0.385,8.3,14.7,11.4,18.8,1.9,4.3,11.8,24.3,,3.7,2.9,6.6,0.129,,2.6,0.9,3.5,3.4
22,Eddie Jones,SG,28,CHH,72,2807,19.9,0.555,0.305,0.374,3.3,10.3,6.9,19,3.5,1.2,10.9,23.4,,5.7,4.4,10.1,0.172,,2.9,2,4.9,4.9
23,Paul Pierce*,SF,22,BOS,73,2583,19.8,0.55,0.255,0.409,3.5,14.6,8.7,14.6,3,1.8,12.1,24.8,,5.2,3,8.2,0.152,,3,0.9,3.9,3.9
24,Antonio McDyess,PF,25,DEN,81,2698,19.6,0.539,0.002,0.426,9.4,18.4,13.8,10.9,1.3,3.5,13.8,26.9,,3.3,2.9,6.2,0.11,,0.9,-0.1,0.7,1.9
25,Darrell Armstrong,PG,31,ORL,82,2590,19.5,0.542,0.36,0.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,,4.6,3.4,8,0.149,,3.6,0.9,4.5,4.3
26,Dikembe Mutombo*,C,33,ATL,82,2984,19.4,0.621,0,0.735,11.2,31.3,21.2,5.4,0.5,5.9,18.7,13.8,,5.6,4.3,9.9,0.16,,0.9,1.5,2.4,3.3
27,Michael Finley,SF,26,DAL,82,3464,19.2,0.522,0.151,0.194,3.8,12.2,8,21.3,1.6,0.6,9.9,25.1,,6.4,1.9,8.3,0.114,,3,-0.9,2.1,3.6
28,Marcus Camby,C,25,NYK,59,1548,19,0.529,0.004,0.469,13.7,21.3,17.7,5.4,1.5,5.7,11.2,19.6,,2.6,3.2,5.9,0.182,,0.5,1.9,2.3,1.7
29,Derrick Coleman,PF,32,CHH,74,2347,18.9,0.541,0.144,0.385,6.1,23.8,15.1,13.5,0.7,3.8,13.1,25.2,,2.7,3.8,6.5,0.133,,1.2,0.5,1.6,2.2
30,Jerry Stackhouse,SG,25,DET,82,3148,18.9,0.545,0.199,0.524,4.3,7.2,5.8,20.3,1.6,0.8,14.9,29.2,,5.7,1.6,7.3,0.111,,2.8,-1.7,1,2.4
31,Ruben Patterson,SF,24,SEA,81,2097,18.8,0.587,0.041,0.486,11.3,11.4,11.3,9.7,2.3,1.3,15.2,19.9,,4.6,2.1,6.7,0.153,,1.8,0.1,1.9,2.1
32,Steve Francis,PG,22,HOU,77,2776,18.4,0.543,0.278,0.327,6.3,10.2,8.3,31.6,2.2,0.7,19.3,25,,4.4,2,6.4,0.111,,2.7,-0.6,2,2.8
33,Jason Kidd*,PG,26,PHO,67,2616,18.4,0.498,0.194,0.287,4.2,16.1,10.3,40.1,2.6,0.8,19,20,,3.7,4.8,8.5,0.156,,2.3,2,4.3,4.2
34,Cedric Ceballos,SF,30,DAL,69,2064,18.1,0.516,0.134,0.248,9,15,12,7.4,1.4,0.8,10.1,26.4,,2.7,1.3,4,0.094,,1.2,-2.2,-1,0.5
35,Keith Van Horn,PF,24,NJN,80,2782,18.1,0.537,0.181,0.313,7.7,19.7,13.5,10.3,1.2,1.5,14.6,26.8,,3.2,2.4,5.5,0.096,,1.2,-1.5,-0.3,1.2
36,Rasheed Wallace,PF,25,POR,81,2845,18.1,0.556,0.048,0.317,5.6,17.2,11.7,8.7,1.6,2.8,11.6,21.9,,4.6,4.7,9.3,0.156,,1.2,1,2.2,3
37,Vlade Divac*,C,31,SAC,82,2374,18,0.552,0.034,0.436,7.6,21.3,14.4,15.4,2.1,2.8,17.3,19.3,,3,4.1,7.2,0.145,,0.4,2.4,2.8,2.9
38,Anfernee Hardaway,SG,28,PHO,60,2253,17.9,0.549,0.128,0.358,4.6,12.4,8.6,22.8,2.1,1.2,14.2,21.1,,4.2,3.6,7.8,0.165,,1.9,1.6,3.5,3.1
