Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shaquille O'Neal*,C,29,LAL,67,2422,29.7,0.59,0.001,0.583,10.8,21.6,16.3,16.4,0.9,4.1,10,31.8,,9.2,4,13.2,0.262,,7.1,0.9,8,6.1
2,Tim Duncan*,PF,25,SAS,82,3329,27,0.576,0.007,0.466,9.6,25.9,18,18.3,1,4.3,12.7,29,,10.7,7.1,17.8,0.257,,5.4,2.2,7.6,8
3,Tracy McGrady*,SG,22,ORL,76,2912,25.1,0.532,0.178,0.35,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,,8.1,3.4,11.5,0.189,,6.4,0.4,6.8,6.4
4,Chris Webber*,PF,28,SAC,54,2071,24.4,0.54,0.018,0.314,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29,,4.8,3.9,8.6,0.2,,3.8,1.6,5.4,3.9
5,Dirk Nowitzki,C,23,DAL,76,2891,24.1,0.599,0.278,0.41,4.7,24,14.5,10.8,1.5,1.9,8.9,25.5,,10.2,3.1,13.4,0.222,,5.4,0.1,5.5,5.5
6,Kevin Garnett*,PF,25,MIN,81,3175,23.8,0.536,0.083,0.32,9,26.5,17.8,22.4,1.6,2.9,12.5,26,,7.9,4.9,12.8,0.194,,5.1,1.8,6.8,7.1
7,Elton Brand,PF,22,LAC,80,3020,23.6,0.586,0,0.519,15,19.6,17.3,11,1.4,3.7,12.2,21.1,,9.9,3.7,13.6,0.216,,3.9,0.4,4.3,4.8
8,Kobe Bryant*,SG,23,LAL,80,3063,23.2,0.544,0.083,0.369,4.1,11.7,7.9,25.9,2,0.8,10.7,30.4,,8.9,3.8,12.7,0.199,,4.3,0.3,4.6,5.2
9,Gary Payton*,PG,33,SEA,82,3301,22.9,0.526,0.15,0.212,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,,10.1,2.5,12.6,0.183,,5.2,-0.2,5.1,5.9
10,Paul Pierce*,SG,24,BOS,82,3302,22.3,0.57,0.325,0.402,2.6,16.5,9.4,15.7,2.4,2,11.4,29.3,,7.3,5.6,12.9,0.187,,4.7,1.3,5.9,6.6
11,Allen Iverson*,SG,26,PHI,60,2622,21.9,0.489,0.161,0.351,1.9,9.6,5.8,27.6,3.5,0.4,11,37.8,,2.6,4.3,6.9,0.126,,3.9,0.8,4.8,4.5
12,John Stockton*,PG,39,UTA,82,2566,21.9,0.601,0.101,0.414,2.8,9.6,6.2,46.3,3.2,0.7,18.5,19.8,,8,2.6,10.7,0.2,,4.1,1.3,5.3,4.8
13,Andre Miller,PG,25,CLE,81,3023,21.8,0.538,0.083,0.428,4.2,10.4,7.4,49.8,2.2,0.8,16.5,22.6,,8.7,1.5,10.3,0.163,,4.3,-0.3,3.9,4.5
14,Ray Allen*,SG,26,MIL,69,2525,21.6,0.598,0.46,0.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,,7.6,1.3,8.9,0.169,,6,-1.1,4.9,4.4
15,Sam Cassell,PG,32,MIL,74,2605,21.3,0.545,0.17,0.274,2.5,10.9,6.9,34.3,1.8,0.3,11.7,27.3,,7.2,1.4,8.6,0.158,,3.5,-1.1,2.4,2.9
16,Karl Malone*,PF,38,UTA,80,3040,21.1,0.532,0.018,0.457,5.6,21.7,13.6,21.8,2.7,1.5,13.5,28.8,,5.5,4.3,9.8,0.155,,2.9,0.8,3.7,4.4
17,Michael Jordan*,SF,38,WAS,60,2093,20.7,0.468,0.04,0.252,2.7,16.2,9.4,30.8,2.2,0.9,9.9,36,,1.2,2.1,3.3,0.075,,3.2,-0.1,3.1,2.7
18,Steve Nash*,PG,27,DAL,82,2837,20.7,0.602,0.315,0.269,2,7.9,5,36.1,1,0.1,15.8,23,,9.5,0.3,9.9,0.167,,5.1,-2.1,3.1,3.6
19,Vince Carter,SG,25,TOR,60,2385,20.5,0.515,0.239,0.235,6.4,8.7,7.5,19.9,2.1,1.3,9.6,30.5,,4.6,2.4,7,0.14,,4.7,-0.3,4.4,3.9
20,David Robinson*,C,36,SAS,78,2303,20.3,0.562,0,0.588,9.9,22,16.2,7,2,4.3,10.9,19.2,,5,5.1,10.1,0.211,,1.6,2.2,3.9,3.4
21,Brad Miller,C,25,TOT,76,2263,20.1,0.572,0.01,0.523,12.7,18.9,15.8,12,1.8,1.3,11.3,20.6,,6,2.3,8.3,0.176,,2.5,-0.2,2.3,2.5
22,Corliss Williamson,SF,28,DET,78,1701,20,0.567,0.006,0.37,8.2,13.9,11.1,11.5,1.5,1.1,12.8,29.8,,3.2,1.9,5.1,0.144,,0.6,-0.9,-0.3,0.7
23,Shareef Abdur-Rahim,PF,25,ATL,77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2,14.1,27,,4.1,3.1,7.2,0.116,,1.9,-0.2,1.7,2.8
24,Shawn Marion,SF,23,PHO,81,3109,19.8,0.518,0.087,0.162,7.6,21.8,14.6,9.1,2.5,2,8.8,23.6,,4.7,5.1,9.8,0.151,,2,1.1,3.1,4
25,Elden Campbell,PF,33,CHH,77,2156,19.5,0.558,0.003,0.484,7,21,14,8.5,1.5,4.6,12.5,23.3,,4,3.5,7.6,0.168,,0.5,1.5,1.9,2.2
26,Pau Gasol,PF,21,MEM,82,3007,19.5,0.566,0.005,0.448,8.8,18.2,13.5,13.8,0.7,3.9,15,22.6,,4.8,2.8,7.6,0.121,,1.5,0.2,1.7,2.8
27,Brent Barry,SG,30,SEA,81,3040,19.3,0.652,0.49,0.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,,8.8,3.3,12.1,0.191,,3.8,1.6,5.5,5.8
28,Peja Stojaković,SF,24,SAC,71,2649,19.3,0.592,0.274,0.286,3,11.9,7.5,10.6,1.5,0.4,9.9,23.2,,6.8,3,9.9,0.179,,3.2,-0.2,3,3.3
29,Rasheed Wallace,PF,27,POR,79,2963,19.3,0.54,0.246,0.213,5.3,20.4,12.8,9.3,1.8,2.6,8.5,23.7,,5.6,4.1,9.7,0.158,,2.4,0.5,3,3.7
30,Donyell Marshall,SF,28,UTA,58,1750,19.2,0.565,0.064,0.342,10.8,19.7,15.2,10.9,1.5,3,14,22.8,,3,2.1,5,0.138,,1.9,-0.1,1.7,1.6
31,Jason Terry,SG,24,ATL,78,2967,19.2,0.549,0.364,0.279,1.5,8.9,5.2,26.9,2.5,0.3,11.7,23.6,,6.6,2.1,8.6,0.139,,3.3,-0.1,3.2,3.9
32,Steve Francis,PG,24,HOU,57,2343,19.1,0.517,0.209,0.419,4.9,14.8,9.8,29.1,1.6,0.7,15.6,28,,3.2,1.2,4.4,0.091,,2.5,-0.8,1.7,2.1
