Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,SF,24,CLE,81,3054,31.7,0.591,0.238,0.472,4.3,19,11.9,38,2.4,2.4,11,33.8,,13.7,6.5,20.3,0.318,,9.5,3.7,13.2,11.8
2,Dwyane Wade,SG,27,MIA,79,3048,30.4,0.574,0.16,0.443,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,,10.3,4.4,14.7,0.232,,8.2,2.4,10.6,9.6
3,Chris Paul,PG,23,NOH,78,3002,30,0.599,0.14,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,,13.3,5,18.3,0.292,,7.2,3.8,11,9.9
4,Dwight Howard,C,23,ORL,79,2821,25.4,0.6,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,,6.2,7.6,13.8,0.234,,2.1,2.4,4.5,4.7
5,Kobe Bryant*,SG,30,LAL,82,2960,24.4,0.561,0.196,0.329,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,,8.6,4,12.7,0.206,,5.6,0.3,5.9,5.9
6,Tim Duncan*,C,32,SAS,75,2524,24.4,0.549,0.002,0.436,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,,5,5,10.1,0.191,,3.4,2,5.4,4.7
7,Brandon Roy,SG,24,POR,78,2903,24,0.573,0.167,0.383,4.4,11.6,7.9,25.4,1.7,0.6,9,27.4,,10.9,2.6,13.5,0.223,,6,0.1,6.2,6
8,Tony Parker,PG,26,SAS,72,2456,23.4,0.556,0.051,0.287,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,,5.6,3,8.6,0.168,,3.8,-0.2,3.6,3.5
9,Al Jefferson,C,24,MIN,50,1836,23.1,0.532,0.004,0.258,10.6,24.9,17.5,8.8,1.1,3.5,7.8,28.9,,2.9,2,4.9,0.128,,3.2,-0.6,2.6,2.1
10,Dirk Nowitzki,PF,30,DAL,81,3050,23.1,0.564,0.105,0.337,3.3,22.1,12.8,12.1,1,1.5,7.8,30.3,,7.5,3.4,10.9,0.171,,3.7,-0.3,3.4,4.2
11,Yao Ming*,C,28,HOU,77,2589,22.7,0.618,0.001,0.426,9.6,24.1,17.1,10,0.6,4.2,16,26.2,,5.6,5,10.6,0.196,,1.6,1.6,3.1,3.3
12,Shaquille O'Neal*,C,36,PHO,75,2252,22.3,0.623,0.001,0.617,10.1,22.3,16.4,8.9,1.1,3.5,13.6,24.2,,5.6,2.2,7.8,0.166,,1.9,-0.3,1.7,2.1
13,Pau Gasol,C,28,LAL,81,2999,22.2,0.617,0.002,0.42,10,19.3,14.7,14.8,0.9,2.1,11.3,20.4,,9.8,4.2,13.9,0.223,,4,0.5,4.5,5
14,Chris Bosh*,C,24,TOR,77,2928,22.1,0.569,0.039,0.489,8.7,22.1,15.5,11.6,1.2,2,10.2,26.9,,6.6,3.1,9.7,0.159,,3,-0.4,2.7,3.5
