Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kevin Durant,SF,25,OKC,81,3122,29.8,0.635,0.291,0.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,,14.8,4.4,19.2,0.295,,8.8,1.4,10.2,9.6
2,LeBron James,PF,29,MIA,77,2902,29.3,0.649,0.226,0.432,3.6,18.9,11.5,32,2.2,0.8,14.4,31,,12.3,3.7,15.9,0.264,,7.8,1.1,8.8,7.9
3,Kevin Love,PF,25,MIN,77,2797,26.9,0.591,0.355,0.445,8.5,29.5,18.7,21.4,1,1,10.3,28.8,,10.6,3.7,14.3,0.245,,8.3,0.6,8.9,7.7
4,Anthony Davis,PF,20,NOP,67,2358,26.5,0.582,0.009,0.438,10,23.3,16.6,8,2,6.7,8.3,25.2,,7.2,3.2,10.4,0.212,,4,0.8,4.8,4
5,DeMarcus Cousins,C,23,SAC,71,2298,26.1,0.555,0.006,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,,4.1,3.8,7.9,0.166,,3.6,1.6,5.2,4.2
6,Chris Paul,PG,28,LAC,62,2171,25.9,0.58,0.244,0.397,2,11.4,6.9,48.9,3.5,0.1,12.4,23.7,,9,3.2,12.2,0.27,,6,2.6,8.6,5.8
7,Carmelo Anthony,PF,29,NYK,77,2982,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,,8.1,2.5,10.7,0.172,,5.8,-0.8,5,5.3
8,Stephen Curry,PG,25,GSW,78,2846,24.1,0.61,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,,9.3,4,13.4,0.225,,6.3,1.1,7.4,6.7
9,Blake Griffin,PF,24,LAC,80,2863,23.9,0.583,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,,8.1,4.1,12.2,0.205,,3.8,0.7,4.5,4.7
10,Dirk Nowitzki,PF,35,DAL,80,2628,23.6,0.603,0.258,0.295,1.8,20,10.9,14.2,1.4,1.4,7.5,26.9,,8.6,2.3,10.9,0.199,,5,0,5,4.7
11,James Harden,SG,24,HOU,73,2777,23.5,0.618,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15,27.8,,10.1,2.7,12.8,0.221,,5.4,0.2,5.6,5.3
12,Al Jefferson,C,29,CHA,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,,3.1,4.7,7.8,0.146,,2.2,0.5,2.7,3
13,Andre Drummond,C,20,DET,81,2619,22.6,0.599,0.003,0.427,17.5,27.7,22.3,2.2,2,4,10.7,16.7,,6.4,3.5,9.9,0.182,,2,-0.6,1.4,2.3
14,Dwyane Wade,SG,32,MIA,54,1775,22,0.588,0.042,0.339,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,,3.5,2,5.5,0.149,,2.9,0,2.9,2.2
15,LaMarcus Aldridge,PF,28,POR,69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,,4,3.5,7.5,0.144,,2.3,0.1,2.3,2.7
16,Goran Dragić,SG,27,PHO,76,2668,21.4,0.604,0.274,0.381,2.9,7.4,5.2,28.1,2,0.6,14.3,24.5,,8.4,2,10.3,0.186,,4.1,-0.2,3.9,4
17,Tim Duncan*,C,37,SAS,74,2158,21.3,0.535,0.006,0.349,8.6,28.3,18.8,16,1,4.6,13.2,25.2,,2.8,4.6,7.4,0.164,,1.2,2.1,3.3,2.9
18,Dwight Howard,C,28,HOU,71,2396,21.3,0.6,0.009,0.798,11.4,27.9,20.1,9.3,1.2,4,17.5,24,,4,4.1,8,0.161,,0.9,0.8,1.8,2.3
19,Nikola Peković,C,28,MIN,54,1663,20.7,0.582,0,0.355,13.1,17.6,15.3,5.2,0.9,1.1,9.4,22.9,,4.3,1.5,5.9,0.169,,2.2,-1.6,0.6,1.1
20,Isaiah Thomas,PG,24,SAC,72,2497,20.5,0.574,0.332,0.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,,6.4,1.3,7.7,0.149,,3.9,-0.7,3.2,3.2
21,Paul George,SF,23,IND,80,2898,20.1,0.555,0.367,0.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,,4.4,6.4,10.8,0.178,,2.7,2.1,4.9,5
22,Kyrie Irving,PG,21,CLE,71,2496,20.1,0.533,0.278,0.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,,4.6,2.1,6.7,0.128,,3.6,-0.2,3.4,3.3
23,Kyle Lowry,PG,27,TOR,79,2862,20.1,0.567,0.463,0.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,,8.4,3.3,11.7,0.197,,4.1,0.6,4.7,4.8
24,Mike Conley,PG,26,MEM,73,2446,20,0.545,0.283,0.268,2,8.4,5.2,30.1,2.4,0.4,11.5,24.6,,5.5,2.7,8.2,0.161,,3.4,0.3,3.8,3.6
25,Manu Ginóbili*,SG,36,SAS,68,1550,20,0.59,0.411,0.3,2.3,12,7.3,29,2.3,0.8,16.4,24.7,,3.3,2.4,5.7,0.176,,2.8,1.2,4,2.4
26,Joakim Noah,C,28,CHI,80,2820,20,0.531,0.003,0.419,11.6,24.5,18.2,26.4,1.9,3.3,17,18.7,,4.5,6.6,11.2,0.19,,1.7,3.6,5.3,5.2
27,Kenneth Faried,PF,24,DEN,80,2178,19.8,0.573,0.004,0.379,11.8,22.2,16.9,7.5,1.6,2.3,12.4,21.3,,4,2.5,6.5,0.144,,1.2,-0.3,1,1.6
28,Paul Millsap,PF,28,ATL,74,2482,19.8,0.545,0.202,0.373,7.2,21.9,14.6,16.2,2.6,2.5,13.2,25.7,,2.7,4,6.7,0.129,,1.4,1.3,2.8,3
29,Serge Ibaka,PF,24,OKC,81,2666,19.6,0.576,0.061,0.203,10,19.6,15,5.2,0.7,6.7,10.3,19.8,,5.2,4.4,9.6,0.173,,1.1,0.6,1.7,2.5
30,John Wall,PG,23,WAS,82,2980,19.5,0.524,0.23,0.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,,4,4,7.9,0.128,,2.4,0.4,2.7,3.6
31,Kawhi Leonard,SF,22,SAS,66,1923,19.4,0.602,0.282,0.195,4.6,18.9,12.1,10.4,3,1.9,10.3,18.3,,3.8,3.9,7.7,0.193,,2.1,3,5.1,3.5
32,Pau Gasol,C,33,LAL,60,1884,19.3,0.522,0.016,0.287,7,25.9,16.4,18.7,0.7,3.5,12.4,26.4,,1.3,1.7,3,0.076,,1,0.2,1.2,1.5
33,Jordan Hill,PF,26,LAL,72,1500,19.3,0.579,0.002,0.347,13.8,24.3,19,5.9,0.9,3.1,11.1,19.7,,3.1,1.3,4.4,0.141,,0.5,-1,-0.5,0.6
