Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Michael Jordan*,SG,25,CHI,81,3255,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,,14.6,5.2,19.8,0.292,,8.4,3.4,11.9,11.4
2,Charles Barkley*,PF,25,PHI,79,3088,27,0.653,0.134,0.661,14.5,21.3,17.9,16,2,1.3,14,24.4,,13.2,2.9,16.1,0.25,,7.3,0.2,7.5,7.4
3,Magic Johnson*,PG,29,LAL,77,2886,26.9,0.625,0.165,0.495,4.6,18,11.7,48.6,2.3,0.4,18.4,24.3,,12.1,4,16.1,0.267,,7.3,2,9.4,8.3
4,Hakeem Olajuwon*,C,26,HOU,82,3024,25.2,0.552,0.006,0.419,12.2,27.2,19.8,8.2,3.3,5.5,13,28.2,,4.6,7.8,12.4,0.197,,2.7,2.9,5.5,5.7
5,Karl Malone*,PF,25,UTA,80,3126,24.4,0.592,0.01,0.589,10,19.6,15.1,12.8,2.3,1.3,12.7,30.4,,8.6,6.6,15.2,0.233,,4.3,1.2,5.4,5.9
6,Clyde Drexler*,SG,26,POR,78,3064,23.6,0.555,0.062,0.328,9.9,11.9,10.9,22.2,3.2,1,11.6,27.2,,8.8,3.8,12.6,0.197,,5.4,1.1,6.5,6.6
7,John Stockton*,PG,26,UTA,82,3171,22.9,0.624,0.072,0.49,3.1,5.4,4.3,54.3,4.1,0.3,21.5,19.1,,9.8,5.8,15.6,0.236,,5.1,3.2,8.3,8.3
8,Patrick Ewing*,C,26,NYK,80,2896,22.1,0.607,0.005,0.378,8,20.7,14.2,9.5,1.9,5.6,15.1,23.6,,6.2,4.7,10.9,0.181,,2.3,2.3,4.5,4.8
9,Chris Mullin*,SF,25,GSW,82,3093,21.9,0.581,0.061,0.339,4.9,10.7,7.8,20.1,2.5,0.7,13.6,26.6,,7.5,3.1,10.6,0.165,,3.7,0.3,4,4.7
10,Dominique Wilkins*,SF,29,ATL,80,2997,21.8,0.528,0.06,0.298,9.2,11,10,11.9,1.9,1,8.4,29.4,,7.5,2.9,10.4,0.166,,4.5,-1.1,3.4,4.1
11,Robert Parish*,C,35,BOS,80,2840,21.6,0.607,0,0.391,14,26.1,20.1,9.1,1.4,2.4,14,20.9,,6.9,3.6,10.5,0.177,,3.5,-0.2,3.3,3.8
12,Moses Malone*,C,33,ATL,81,2878,21.2,0.581,0.011,0.649,14.4,21.9,18.1,5.8,1.3,2.1,14.8,23.4,,6.8,3.9,10.7,0.178,,3,-1.2,1.8,2.7
13,Fat Lever,SG,28,DEN,71,2745,20.6,0.513,0.054,0.282,6.7,18.9,12.4,26.9,3.2,0.4,10.3,21.3,,5.1,4.2,9.2,0.161,,3.4,1.8,5.2,5
14,Mark Price,PG,24,CLE,75,2728,20.6,0.623,0.21,0.29,2.1,7,4.7,33.8,2.1,0.1,15.7,21,,8,3.3,11.3,0.199,,4.5,0,4.5,4.5
15,Kevin Johnson,PG,22,PHO,81,3179,20.5,0.597,0.02,0.511,1.6,9.4,5.7,40.4,2,0.4,18.9,21.2,,8.6,3.5,12.2,0.184,,3.9,0.3,4.2,5
16,Kevin McHale*,PF,31,BOS,78,2876,20.3,0.608,0.003,0.44,9,16.3,12.7,9.1,0.4,2,11.9,23.7,,8.1,1.9,10.1,0.168,,3.2,-1.1,2.1,3
17,Larry Nance,PF,29,CLE,73,2526,19.9,0.59,0.004,0.363,7.4,18,13,9.2,1.1,4.7,9.9,19.9,,5.7,4.7,10.3,0.197,,1.9,2,3.9,3.8
18,Ron Harper,SG,25,CLE,82,2851,19.8,0.57,0.101,0.374,5.1,10.8,8.1,22.7,3.2,1.5,14.7,23.4,,5.1,5.1,10.2,0.171,,2.3,2.4,4.7,4.8
19,Terry Cummings,SF,27,MIL,80,2824,19.7,0.518,0.01,0.294,11.3,15.3,13.3,11.7,1.8,1.6,10.2,28.9,,4.2,3.5,7.7,0.131,,2,-0.8,1.2,2.3
20,Dale Ellis,SG,28,SEA,82,3190,19.7,0.589,0.198,0.27,5.3,6.7,6,8.1,1.6,0.4,10.2,26.6,,9.2,1.6,10.8,0.163,,4.3,-1.6,2.7,3.8
21,Eddie Johnson,SF,29,PHO,70,2043,19.4,0.564,0.141,0.204,5,10.7,8,12.2,1.1,0.2,8.4,28.3,,4.6,1.9,6.5,0.152,,3.3,-1.1,2.1,2.1
