Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,SF,26,MIA,79,3063,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,,10.3,5.3,15.6,0.244,,6.3,1.8,8.1,7.8
2,Dwight Howard,C,25,ORL,78,2935,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,,6.7,7.7,14.4,0.235,,2.9,2.4,5.3,5.4
3,Dwyane Wade,SG,29,MIA,76,2823,25.6,0.581,0.149,0.471,5.5,14.4,10.2,23.5,2.1,2.4,12.4,31.6,,8.1,4.7,12.8,0.218,,5.5,1.1,6.6,6.1
4,Kevin Love,PF,22,MIN,73,2611,24.3,0.593,0.206,0.486,13.7,34.2,23.6,11.8,0.9,0.8,11.1,22.9,,8.9,2.5,11.4,0.21,,5.7,-1.3,4.4,4.2
5,Kobe Bryant*,SG,32,LAL,82,2779,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,,6.8,3.5,10.3,0.178,,5.4,-0.2,5.2,5
6,Chris Paul,PG,25,NOH,80,2880,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,,9.5,4.4,13.9,0.232,,4.4,2.8,7.1,6.7
7,Kevin Durant,SF,22,OKC,78,3038,23.6,0.589,0.269,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,,8.6,3.3,12,0.189,,5.2,-0.3,4.9,5.3
8,Russell Westbrook,PG,22,OKC,82,2847,23.6,0.538,0.074,0.454,5.2,10.3,7.8,42.7,2.8,0.8,15.9,31.6,,6.3,3.1,9.4,0.159,,4.3,-0.1,4.2,4.4
9,Derrick Rose,PG,22,CHI,81,3026,23.5,0.55,0.241,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,0.208,,6.3,0.5,6.8,6.7
10,Dirk Nowitzki,PF,32,DAL,73,2504,23.4,0.612,0.142,0.376,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,,7.8,3.3,11.1,0.213,,4.3,0.8,5.1,4.5
