Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shaquille O'Neal*,C,25,LAL,60,2175,28.8,0.587,0,0.594,11.1,24,17.7,13.5,0.9,4.6,10.8,32.9,,6.7,3.4,10.2,0.224,,5.7,0.2,5.8,4.3
2,Karl Malone*,PF,34,UTA,81,3030,27.9,0.597,0.004,0.56,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,,12.1,4.3,16.4,0.259,,6.6,0.7,7.3,7.1
3,David Robinson*,C,32,SAS,73,2457,27.8,0.581,0.004,0.62,12,23.7,18.2,15.9,1.4,5.5,13,29.7,,7.8,6,13.8,0.269,,5.3,2.9,8.3,6.3
4,Michael Jordan*,SG,34,CHI,82,3181,25.2,0.533,0.067,0.381,4.7,12.5,8.5,18,2.4,1,7.7,33.7,,10.4,5.4,15.8,0.238,,5.9,1,6.9,7.1
5,Tim Duncan*,PF,21,SAS,82,3204,22.6,0.577,0.008,0.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26,,5.6,7.2,12.8,0.192,,2.5,2,4.6,5.3
6,Alonzo Mourning*,C,27,MIA,58,1939,22.4,0.595,0,0.635,12.1,21.4,16.9,5.2,1.1,4.9,16,26.8,,3.9,3.6,7.5,0.185,,1.8,0.7,2.5,2.2
7,John Stockton*,PG,35,UTA,64,1858,21.8,0.628,0.178,0.452,2.5,8.2,5.6,47.8,2.6,0.4,20.8,19.3,,6.4,1.6,8,0.206,,5.5,0.2,5.6,3.6
8,Charles Barkley*,PF,34,HOU,68,2243,21.6,0.564,0.113,0.534,12.9,28.8,20.9,16.6,1.7,0.9,13.8,21.6,,6.1,2.5,8.6,0.183,,3.2,-0.4,2.8,2.7
9,Gary Payton*,PG,29,SEA,82,3145,21.6,0.544,0.311,0.293,3,11.2,7.1,36.7,3.1,0.4,13.7,24.6,,8.5,4,12.5,0.19,,4.4,0.7,5.1,5.7
10,Grant Hill*,SF,25,DET,81,3294,21.2,0.52,0.015,0.475,3.3,19.3,11.3,31.5,2.4,1.2,14.8,27.3,,5.2,5.1,10.2,0.149,,3.3,1.5,4.7,5.6
11,Shareef Abdur-Rahim,SF,21,VAN,82,2950,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,,6.3,0.6,6.9,0.113,,3.4,-1.8,1.6,2.6
12,Sam Cassell,PG,28,NJN,75,2606,21,0.533,0.069,0.439,3,7.4,5.1,40.4,2.4,0.6,16.3,27.5,,6.6,1.7,8.3,0.152,,3.7,-0.1,3.6,3.7
13,Arvydas Sabonis*,C,33,POR,73,2333,20.9,0.581,0.139,0.49,7.7,27.9,18.2,16.9,1.5,2.5,15.9,23.2,,5.1,4.6,9.7,0.2,,2.2,2.2,4.4,3.8
14,Chris Webber*,C,24,WAS,71,2809,20.9,0.523,0.153,0.248,6.9,20.8,13.7,17.8,2.1,3.1,11.1,26.5,,3.9,4.4,8.3,0.142,,2.9,1.7,4.6,4.7
15,Hakeem Olajuwon*,C,35,HOU,47,1633,20.8,0.531,0.005,0.335,8.5,24.6,16.7,15.8,2.7,4.1,14.8,23.7,,2,2.5,4.5,0.131,,1,2,3,2.1
16,Tim Hardaway*,PG,31,MIA,81,3031,20.6,0.53,0.341,0.254,1.9,9.4,5.8,41.3,2.4,0.4,13.5,25.6,,7.9,3.8,11.7,0.185,,4.8,0.4,5.2,5.5
17,Tom Gugliotta,SF,28,MIN,41,1582,20.5,0.561,0.027,0.351,7.7,17.8,12.8,17.9,2,1,12.9,23.6,,3.4,1.5,5,0.151,,3.1,0.2,3.2,2.1
18,Vin Baker,C,26,SEA,82,2944,20.4,0.564,0.006,0.452,11.8,14.8,13.3,9.3,1.7,2.2,11.1,24.7,,6.9,3.5,10.4,0.169,,1.9,-0.9,1,2.2
19,Kevin Garnett*,PF,21,MIN,82,3222,20.4,0.527,0.012,0.257,7.9,19.7,13.9,18.2,2.2,3.3,11.8,22.5,,5.3,4.2,9.6,0.143,,2.6,1.5,4.2,5
20,Allen Iverson*,PG,22,PHI,80,3150,20.4,0.535,0.167,0.38,3.1,7.7,5.4,30.6,3,0.6,12.9,26.9,,6.3,2.8,9,0.138,,3.5,0.1,3.6,4.5
21,Scottie Pippen*,SF,32,CHI,44,1652,20.4,0.533,0.273,0.274,3.7,12.1,7.9,26.5,2.6,1.9,12.1,24.4,,3.7,3,6.6,0.193,,3.3,1.6,5,2.9
22,Mitch Richmond*,SG,32,SAC,70,2569,20.4,0.569,0.274,0.386,2.1,7.9,5,20.2,1.8,0.4,11.3,27.8,,6.6,1.3,7.9,0.148,,4.4,-0.8,3.6,3.6
23,Antonio McDyess,PF,23,PHO,81,2441,20.3,0.571,0.002,0.355,10.1,19,14.7,7.5,2.2,4,11.7,22.5,,4.8,4.6,9.4,0.185,,0.8,1.4,2.1,2.5
24,Terrell Brandon,PG,27,MIL,50,1784,20.2,0.526,0.127,0.213,1.6,10.6,6,40,3.3,0.7,15.3,24.2,,3.1,2,5.1,0.136,,2.8,0.8,3.7,2.5
25,Matt Geiger,C,28,CHH,78,1839,20.2,0.544,0.016,0.333,13,21.1,17.1,7.6,2,3.5,12,23.2,,3.2,2.7,5.9,0.154,,1.2,-0.1,1.1,1.5
26,Rik Smits,C,31,IND,73,2085,19.9,0.532,0.003,0.231,7.7,20.8,14.6,9.9,1,3,10.5,29.2,,2.5,3.6,6.1,0.141,,0.6,0.3,0.9,1.6
27,Clyde Drexler*,SG,35,HOU,70,2473,19.8,0.531,0.315,0.327,5.1,11.4,8.3,27.6,2.7,1.2,13.5,25.7,,5,1.8,6.8,0.133,,3.2,0.1,3.4,3.3
28,Danny Manning,PF,31,PHO,70,1794,19.8,0.554,0.009,0.299,7.3,17.9,12.8,13.6,2.1,1.9,10.5,24.1,,3.5,3,6.5,0.174,,1.4,1.3,2.7,2.1
29,Reggie Miller*,SG,32,IND,81,2795,19.8,0.619,0.353,0.407,2.1,7.6,5,11.1,1.5,0.3,9.1,23.9,,9.2,2.8,12,0.206,,4.8,0.1,4.8,4.8
30,Dikembe Mutombo*,C,31,ATL,82,2917,19.8,0.584,0,0.608,11.5,25.6,18.8,4.8,0.6,6.6,15.1,17.6,,5.6,5.2,10.8,0.177,,1.2,1.4,2.6,3.4
31,Zydrunas Ilgauskas,C,22,CLE,82,2379,19.7,0.564,0.005,0.345,14.6,22.6,18.6,5.7,1.2,4.3,12.6,22.4,,4.5,4.9,9.4,0.189,,1,0.5,1.4,2.1
32,Nick Anderson,SF,30,ORL,58,1701,19.6,0.529,0.284,0.264,6.6,14.1,10.3,14.1,2.3,1,9.2,25,,3.1,2.1,5.3,0.149,,4,0.7,4.8,2.9
33,Rod Strickland,PG,31,WAS,76,3020,19.6,0.501,0.042,0.435,4.1,11.4,7.6,43.1,2.2,0.6,16.5,23.7,,5.1,3,8.1,0.129,,2.8,0.1,2.9,3.7
34,Vlade Divac*,C,29,CHH,64,1805,19.4,0.539,0.026,0.351,12.4,22.2,17.3,15.8,2.5,3.8,15.6,18.8,,2.9,3,5.9,0.157,,1.8,2.2,4,2.7
