Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kevin Garnett*,PF,27,MIN,82,3231,29.4,0.547,0.027,0.289,9.1,30,20.1,24.4,2,4,10.5,29.6,,10.4,8,18.3,0.272,,6.8,3.3,10.2,10
2,Tim Duncan*,PF,27,SAS,69,2527,27.1,0.534,0.01,0.498,10.2,27.6,19,17.4,1.3,5.3,11.3,29.7,,5.9,7.2,13.1,0.249,,5.2,3.3,8.5,6.7
3,Tracy McGrady*,SG,24,ORL,67,2675,25.3,0.526,0.328,0.319,3.9,13.3,8.5,28.3,1.8,1.1,9.1,33.2,,8.1,0.4,8.4,0.151,,7.6,-1.2,6.4,5.7
4,Shaquille O'Neal*,C,31,LAL,67,2464,24.4,0.578,0,0.713,11.1,24.4,17.7,14.8,0.7,5,13.5,26.3,,5.9,4,9.9,0.192,,3.8,1,4.8,4.1
5,Kobe Bryant*,SG,25,LAL,65,2447,23.7,0.551,0.184,0.452,4.7,12,8.3,24.4,2.4,0.8,10.8,29.1,,7.8,3,10.7,0.21,,5.1,0.5,5.6,4.7
6,Elton Brand,PF,24,LAC,69,2670,23.2,0.567,0.001,0.542,11.4,19.1,15.2,16,1.3,4.2,13.7,23.4,,7.9,1.8,9.7,0.174,,4,0,4,4
7,Sam Cassell,PG,34,MIN,81,2838,22.8,0.566,0.146,0.261,1.9,8.7,5.5,38,1.9,0.5,13.5,27.2,,8.8,3.3,12.1,0.205,,4.1,0.3,4.4,4.6
8,Andrei Kirilenko,PF,22,UTA,78,2895,22.6,0.559,0.216,0.533,9.5,17.5,13.5,15.7,2.9,6.3,15.8,21.9,,6.5,5,11.6,0.192,,5,2.9,7.9,7.2
9,Dirk Nowitzki,C,25,DAL,77,2915,22.5,0.561,0.221,0.323,3.3,22.2,12.5,11.3,1.6,2.6,8.3,24.5,,9,2.5,11.5,0.19,,3.8,0,3.8,4.3
10,Yao Ming*,C,23,HOU,82,2692,21.9,0.586,0.002,0.435,9.1,22.4,16.1,9.3,0.4,4.5,14.3,25.3,,6.5,4.8,11.4,0.202,,1.7,1.1,2.8,3.2
11,Peja Stojaković,SF,26,SAC,81,3264,21.8,0.624,0.4,0.307,3.2,14.1,8.8,9.1,1.7,0.3,8.9,23.9,,11.4,2.1,13.5,0.198,,5.2,-1.3,3.9,4.9
12,Ray Allen*,SG,28,SEA,56,2152,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,,6.5,0.4,6.9,0.153,,5.5,-1.5,4,3.2
13,Pau Gasol,PF,23,MEM,78,2458,21.7,0.542,0.014,0.487,9.4,18.3,13.8,14.9,0.9,3.9,12.8,26.8,,5.3,2.8,8.1,0.159,,2.9,0.1,2.9,3
14,Antawn Jamison,SF,27,DAL,82,2376,21.2,0.581,0.044,0.322,10.4,13.5,11.9,4.7,1.8,0.9,7.2,20.7,,8.1,1,9,0.183,,3.3,-1.5,1.7,2.2
15,Jermaine O'Neal,PF,25,IND,78,2788,21.1,0.489,0.013,0.329,8.1,25,16.5,12.3,1.2,5.5,10.1,30.2,,2.7,6.3,9,0.155,,1.1,1.3,2.4,3.1
16,Carlos Boozer,PF,22,CLE,75,2592,20.8,0.567,0.007,0.317,9.8,26.8,18.3,10.3,1.5,1.5,11.6,20,,6.1,3.4,9.4,0.174,,2.4,-0.2,2.1,2.7
17,Baron Davis,PG,24,NOH,67,2686,20.7,0.492,0.415,0.251,2.7,9.6,6.1,37.9,3.2,0.8,12.1,30.1,,4.3,3.2,7.5,0.133,,4.7,0.5,5.2,4.8
18,Steve Nash*,PG,29,DAL,78,2612,20.5,0.59,0.304,0.297,2.4,7.4,4.8,38.3,1.3,0.2,17.9,19.5,,8.9,-0.1,8.8,0.162,,4.7,-2.2,2.5,3
19,Stephon Marbury,PG,26,TOT,81,3254,20.4,0.519,0.198,0.315,2.1,7.2,4.6,40.1,2.1,0.2,13.6,25.8,,7.4,1.7,9.1,0.134,,4.1,-0.9,3.2,4.3
20,Zydrunas Ilgauskas,C,28,CLE,81,2539,20.2,0.541,0.007,0.421,12.1,16.3,14.2,7.8,0.8,5.6,12.5,23.1,,5,2.8,7.8,0.147,,1.1,-0.2,0.9,1.9
21,Erick Dampier,C,28,GSW,74,2403,20.1,0.573,0.003,0.511,16.1,25.5,20.8,4.3,0.7,4.1,14.1,17.8,,5.5,3.4,8.9,0.178,,1.3,-0.3,1,1.8
22,Corey Maggette,SF,24,LAC,73,2628,20.1,0.586,0.228,0.612,4.1,14.6,9.3,15.8,1.3,0.4,13.9,25.2,,8.2,0.5,8.6,0.157,,3.6,-1.5,2.1,2.7
23,Vince Carter,SG,27,TOR,73,2785,20,0.501,0.167,0.286,3.9,10.6,7.2,28,1.7,1.7,12,32.5,,2.6,3.4,6,0.103,,3.5,0.2,3.6,3.9
24,Shareef Abdur-Rahim,PF,27,TOT,85,2684,19.9,0.557,0.032,0.407,8.2,19,13.6,12.3,1.4,1,12.9,24.4,,6.1,2,8.1,0.145,,2.3,-0.7,1.6,2.4
25,Shawn Marion,SF,25,PHO,79,3217,19.9,0.513,0.198,0.2,7.5,18.7,13.1,11.7,2.7,2.4,9.7,22.7,,5.3,3.8,9.1,0.135,,3,0.6,3.6,4.6
26,Michael Redd,SG,24,MIL,82,3021,19.9,0.544,0.252,0.306,4.4,10.9,7.7,11.3,1.4,0.1,6.6,26.3,,8.4,1.3,9.7,0.154,,3.8,-1.3,2.5,3.5
27,Amar'e Stoudemire,PF,21,PHO,55,2025,19.8,0.536,0.006,0.503,8.8,19.2,14,7,1.6,3.3,14.4,27.5,,2.4,2,4.4,0.105,,0.8,-0.7,0.1,1.1
28,Antonio Daniels,PG,28,SEA,71,1512,19.7,0.596,0.291,0.462,1.8,9.2,5.5,31.9,1.6,0.3,11.3,16.5,,5.8,0,5.8,0.184,,3.9,-1,2.9,1.9
29,Jason Kidd*,PG,30,NJN,67,2450,19.7,0.485,0.306,0.26,4.1,16.5,10.3,44.8,2.7,0.4,16.7,24.6,,2.8,4.4,7.2,0.141,,3.4,1.3,4.7,4.2
30,Zach Randolph,PF,22,POR,81,3067,19.6,0.528,0.004,0.287,9.5,23.4,16.5,10.4,1.2,1,13.8,27.6,,4.1,2.9,7.1,0.111,,1.1,-1.6,-0.5,1.2
31,Brian Cardinal,PF,26,GSW,76,1634,19.4,0.626,0.266,0.582,6.9,15,10.9,10.7,2.2,0.9,12.6,18.9,,5.5,1.7,7.2,0.212,,2.2,1,3.2,2.2
32,Brad Miller,PF,27,SAC,72,2621,19.4,0.579,0.052,0.45,8.5,23.3,16.1,18.5,1.3,2.3,14.1,17.6,,7.1,3,10,0.184,,2,1,3.1,3.4
33,Paul Pierce*,SG,26,BOS,80,3099,19.4,0.517,0.257,0.422,2.6,16.4,9.6,25.1,2.2,1.3,14.6,30.5,,3.7,3.4,7.1,0.109,,2.3,-0.3,2,3.2
34,Mike Bibby,PG,25,SAC,82,2980,19.3,0.564,0.323,0.319,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9,,8,1.3,9.3,0.151,,3.4,-1,2.4,3.3
35,Allen Iverson*,SG,28,PHI,48,2040,19.3,0.478,0.177,0.404,2,8.2,5.1,34.4,3.1,0.2,13.6,35.3,,0.5,2.3,2.8,0.066,,2.7,-0.6,2.1,2.1
36,Stromile Swift,PF,24,MEM,77,1528,19.2,0.53,0.007,0.459,10.3,17.7,14,4.4,1.9,5.6,11.4,22.8,,2.4,2.4,4.8,0.15,,-0.2,0.7,0.5,1
37,Donyell Marshall,PF,30,TOT,82,2988,18.9,0.548,0.319,0.178,8,23.1,15.5,7.9,1.7,3,9.6,19.5,,4.9,5.5,10.4,0.167,,2,0.8,2.7,3.6
38,Andre Miller,PG,27,DEN,82,2838,18.8,0.541,0.069,0.437,5,9.7,7.3,29.1,2.6,0.6,16.1,20.7,,6.1,2.6,8.8,0.148,,2.2,0.4,2.5,3.3
39,James Posey,SG,27,MEM,82,2451,18.8,0.614,0.377,0.435,4.2,14.5,9.3,8.4,2.9,1.2,10.9,18.9,,6.8,3.2,10,0.195,,2.3,1.4,3.7,3.5
40,Kenyon Martin,PF,26,NJN,65,2252,18.7,0.528,0.028,0.327,7,25.3,16.2,13.7,2.3,2.8,14,25,,1.5,5.1,6.7,0.142,,0.1,1.8,1.9,2.2
41,Chauncey Billups,PG,27,DET,78,2758,18.6,0.55,0.336,0.462,1.5,10,5.8,29.3,1.7,0.2,13.6,23.5,,7.1,4.2,11.3,0.198,,3.1,0.5,3.6,3.9
42,Manu Ginóbili*,SG,26,SAS,77,2260,18.5,0.536,0.311,0.378,4.3,12.6,8.5,22.5,3.2,0.5,14.9,22.1,,4,5.1,9.1,0.194,,1.5,3.1,4.7,3.8
43,Lamar Odom,PF,24,MIA,80,3003,18.5,0.516,0.182,0.406,6.1,24.2,15.1,20.6,1.5,1.9,15.1,24.5,,3.6,4.8,8.4,0.134,,1.7,1.2,2.9,3.8
44,Brent Barry,SG,32,SEA,59,1803,18.3,0.668,0.59,0.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,,4.9,0.7,5.7,0.151,,3.2,0.1,3.2,2.4
45,LeBron James,SG,19,CLE,79,3122,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,,2.4,2.6,5.1,0.078,,2.3,-0.6,1.7,2.9
46,Mehmet Okur,PF,24,DET,71,1580,18.3,0.538,0.089,0.386,11.9,18.8,15.4,8.2,1.2,3,13.7,21.7,,2.6,3.3,5.9,0.179,,1,0.6,1.5,1.4
47,Metta World Peace,SF,24,IND,73,2714,18.2,0.511,0.218,0.395,4.3,12.5,8.4,19.2,3.1,1.4,13.4,26.2,,2.8,5.2,8,0.141,,1.6,1.9,3.5,3.8
48,Richard Jefferson,SF,23,NJN,82,3133,18.1,0.573,0.118,0.42,4.1,13.3,8.7,18.7,1.6,0.7,13,22.8,,6.5,4.4,11,0.168,,1.9,0.4,2.3,3.4
49,Marcus Camby,C,29,DEN,72,2162,17.8,0.511,0.004,0.248,10.9,27.4,19,9.6,2,6.1,13.9,14.3,,2.6,4.3,6.9,0.154,,-0.1,2.5,2.5,2.5
50,Michael Finley,SG,30,DAL,72,2778,17.8,0.539,0.319,0.167,3,9.9,6.4,11.7,1.6,1,6.3,20.9,,7,0.5,7.6,0.131,,3,-1.2,1.8,2.7
51,Keith Van Horn,SF,28,TOT,72,2340,17.8,0.564,0.258,0.321,7.4,17.1,12.3,9.2,1.5,1,14.1,23.6,,4.1,2.2,6.3,0.129,,1.8,-0.6,1.2,1.9
52,Rasheed Wallace,PF,29,TOT,68,2390,17.8,0.51,0.255,0.218,5.1,17.4,11.3,12.1,1.4,3.8,10,23.4,,3.1,3.1,6.2,0.125,,1.5,0.8,2.3,2.6
53,Carmelo Anthony,SF,19,DEN,82,2995,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1,12.7,28.5,,3.7,2.4,6.1,0.098,,1.6,-1.6,0.1,1.6
54,Larry Hughes,SG,25,WAS,61,2061,17.6,0.496,0.23,0.332,5.1,12.9,8.9,14.3,2.4,0.9,11.6,28.1,,2.1,1.6,3.8,0.088,,1.7,-0.7,0.9,1.5
55,Dwyane Wade,PG,22,MIA,61,2126,17.6,0.53,0.066,0.391,4.6,9,6.8,25.1,2.2,1.3,17.3,25,,2.2,2.3,4.6,0.103,,1.4,0.1,1.4,1.9
56,Rashard Lewis,SF,24,SEA,80,2931,17.5,0.527,0.314,0.22,5.4,15.4,10.4,10.7,1.8,1.4,9.1,23.4,,5.2,1.3,6.5,0.107,,2.1,-1.2,1,2.2
57,Speedy Claxton,PG,25,GSW,60,1595,17.3,0.509,0.042,0.427,2.7,8.4,5.5,28.7,3.3,0.4,14.1,20.9,,2.6,1.6,4.2,0.127,,-0.2,1.3,1.1,1.2
58,Gary Payton*,PG,35,LAL,82,2825,17.3,0.528,0.161,0.246,2.8,11,6.9,26.9,1.8,0.5,11.7,20.4,,5.3,2.7,8.1,0.137,,1.8,0.2,2,2.9
59,Ben Wallace*,C,29,DET,81,3050,17.3,0.441,0.011,0.388,12.5,25.5,19.1,7.7,2.6,6.1,12.3,15.3,,1.1,9.1,10.2,0.16,,0.2,3.3,3.5,4.3
60,Jason Williams,PG,28,MEM,72,2115,16.9,0.517,0.511,0.137,1.3,6.6,3.9,38.3,2.3,0.2,15.2,19,,3.9,1.4,5.4,0.122,,3.3,-0.8,2.4,2.3
61,Carlos Arroyo,PG,24,UTA,71,2008,16.8,0.517,0.152,0.293,2.5,9,5.7,34.6,1.7,0.2,15.2,23.7,,3.5,1.2,4.7,0.112,,2,-1.1,0.9,1.5
62,Richard Hamilton,SG,25,DET,78,2772,16.8,0.522,0.058,0.293,3.3,8.3,5.8,22.2,2,0.5,13.8,25.7,,3.8,4.4,8.1,0.141,,0.5,0.7,1.2,2.3
63,Jason Richardson,SG,23,GSW,78,2936,16.8,0.504,0.213,0.294,4.7,15.4,10.1,14.5,1.6,1,11.9,25.8,,2.6,2.7,5.2,0.085,,1.1,-0.6,0.5,1.9
64,Eddie Jones,SG,32,MIA,81,2998,16.7,0.538,0.414,0.288,1.5,10.6,6,16.1,1.7,0.9,9,22.5,,6.2,3,9.1,0.146,,2.2,0.2,2.5,3.4
65,Joe Smith,PF,28,MIL,76,2254,16.6,0.51,0.007,0.34,11.6,20.8,16.2,5.6,1.1,3,9.2,18,,4,2.3,6.3,0.134,,0.3,-0.7,-0.4,0.9
66,Jamaal Magloire,C,25,NOH,82,2777,16.5,0.551,0.001,0.581,10.7,24.4,17.4,5.5,0.8,2.8,16.5,20,,3.9,3.7,7.6,0.131,,-0.9,-0.7,-1.6,0.3
67,Etan Thomas,C,25,WAS,79,1901,16.4,0.538,0,0.561,10.5,20.9,15.6,6.4,1,4.7,14.7,17.9,,2.5,2.1,4.5,0.115,,-1.1,0,-1.1,0.4
68,Vlade Divac*,C,35,SAC,81,2317,16.3,0.511,0.019,0.389,6.8,15.6,11.3,28.7,1.3,2.3,18.1,18.6,,3.5,1.8,5.3,0.11,,1.1,0.9,2,2.4
69,Earl Boykins,SG,27,DEN,82,1849,16.2,0.501,0.223,0.211,2.5,6.3,4.4,27.3,1.4,0.1,10.7,22.2,,3.3,0.8,4.1,0.105,,2,-1.5,0.5,1.2
70,Jeff Foster,C,27,IND,82,1961,16.2,0.578,0.011,0.425,14.8,22,18.4,5.5,2,1.1,12.3,11.8,,4.4,3.8,8.3,0.202,,0.8,0.5,1.3,1.6
71,Bob Sura,SG,30,TOT,80,1663,16.2,0.51,0.163,0.466,6.9,15.3,11.2,24.1,2,0.6,15.2,19,,2.6,2,4.6,0.133,,0.6,0.5,1.1,1.3
72,Jason Terry,PG,26,ATL,81,3018,16.2,0.519,0.352,0.217,1.9,10.6,6.3,26.6,2.2,0.4,14.9,23.2,,3.6,1.5,5.1,0.08,,1.4,-1.1,0.3,1.7
73,Samuel Dalembert,C,22,PHI,82,2197,16.1,0.566,0.002,0.349,10.5,22.9,16.8,1.7,1.1,6.8,13,14.1,,3,4,6.9,0.151,,-1.3,1.7,0.3,1.3
74,Ricky Davis,SF-SG,24,TOT,79,2474,16.1,0.533,0.147,0.287,3.6,12.7,8.2,19.1,2,0.7,15,23,,2.4,2,4.4,0.085,,0.6,-0.5,0.1,1.3
75,Stephen Jackson,SF,25,ATL,80,2940,16.1,0.521,0.339,0.236,3.8,10.4,7.1,15.7,2.6,0.5,13.8,25,,2.7,1.8,4.4,0.072,,1,-0.8,0.1,1.5
76,Toni Kukoč*,PF,35,MIL,73,1522,16.1,0.519,0.332,0.393,4.5,15.7,10.1,21.5,2,1,15.6,21,,1.7,1.3,3.1,0.096,,1.5,0.5,2,1.6
77,Darius Miles,SF,22,TOT,79,2079,16.1,0.514,0.053,0.256,6.2,13.6,9.9,14,1.8,2.1,13.4,21.5,,1.9,1.7,3.6,0.083,,0.4,0,0.4,1.3
78,Reggie Miller*,SG,38,IND,80,2254,16.1,0.6,0.562,0.278,0.9,9,4.9,19.1,1.6,0.4,9.3,15.4,,6,2.9,8.9,0.189,,2.5,0.9,3.5,3.1
79,Nazr Mohammed,C,26,TOT,80,1611,16.1,0.542,0,0.358,12.8,20.7,16.8,4,1.8,2.4,14.9,18.3,,1.8,1.9,3.7,0.11,,-0.5,-0.9,-1.4,0.3
80,Gilbert Arenas,PG,22,WAS,55,2066,16,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,,1.1,1.5,2.6,0.061,,1.1,-1,0.1,1.1
81,Mark Blount,C,28,BOS,82,2402,16,0.601,0,0.366,10.1,17.9,14,5.4,1.7,3.4,17.6,16.1,,3.7,2.9,6.5,0.131,,-0.6,0.1,-0.5,0.9
82,Jamal Crawford,SG,23,CHI,80,2811,15.9,0.486,0.395,0.182,1.7,9.5,5.5,27.5,2.1,0.8,11.9,25.7,,1.9,2.1,4.1,0.069,,1.9,-0.5,1.4,2.4
83,Kenny Thomas,PF,26,PHI,74,2699,15.9,0.527,0.006,0.397,11.5,21.1,16.4,7.7,1.7,1,15.3,19.6,,2.9,3.7,6.6,0.118,,-0.2,-0.5,-0.7,0.9
84,Steve Francis,PG,26,HOU,79,3194,15.8,0.501,0.224,0.389,4.5,11.1,8,28.3,2.4,0.8,18.3,24,,2.4,4.7,7.1,0.107,,0.5,0.9,1.4,2.7
85,Antoine Walker,PF,27,DAL,82,2840,15.8,0.475,0.27,0.165,7.4,19.1,13.1,19.4,1.2,1.7,14.3,21.8,,2.4,1.5,3.9,0.066,,1.3,-0.8,0.5,1.8
86,Kwame Brown,PF,21,WAS,74,2239,15.7,0.547,0.003,0.567,8.7,19.2,13.8,8.8,1.5,1.7,16,17.3,,2.9,2,4.9,0.105,,0,-0.5,-0.6,0.8
87,P.J. Brown,PF,34,NOH,80,2753,15.7,0.527,0.001,0.26,9.6,19.3,14.3,9.8,1.5,2,11.3,14.8,,4.7,3.4,8.1,0.142,,0.3,0.4,0.7,1.9
88,Josh Howard,SF,23,DAL,67,1589,15.7,0.485,0.124,0.259,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,,2.3,1.2,3.5,0.104,,0.2,-0.2,-0.1,0.8
89,Desmond Mason,SF,26,MIL,82,2534,15.7,0.552,0.045,0.534,4.2,11.9,8,10.2,1.2,0.7,12.1,21.8,,4.4,1.2,5.7,0.107,,0.5,-0.9,-0.4,1
90,Tony Parker,PG,21,SAS,75,2577,15.7,0.516,0.21,0.288,1.9,8.3,5.1,28.7,1.3,0.2,14.4,22.3,,3.5,4,7.5,0.14,,0.8,0,0.8,1.8
91,Darrell Armstrong,PG,35,NOH,79,2247,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,,2.8,2.5,5.3,0.114,,1.3,1.1,2.4,2.5
92,Drew Gooden,PF,22,ORL,79,2134,15.6,0.484,0.051,0.316,8.3,19.3,13.7,7.5,1.5,2.4,11.8,22.7,,1,0.9,1.9,0.043,,-0.8,-1.7,-2.5,-0.2
93,Juwan Howard,PF,30,ORL,81,2877,15.6,0.513,0.001,0.336,6.6,16.1,11.2,10,1,0.6,11.7,23.9,,3.6,0,3.6,0.059,,-0.3,-2.5,-2.9,-0.6
94,Ronald Murray,PG,24,SEA,82,2021,15.4,0.497,0.25,0.257,2.6,9.2,5.9,18.5,2.1,1,12.8,26.7,,1.2,0.5,1.7,0.04,,0.1,-1.4,-1.2,0.4
95,Shane Battier,SF,25,MEM,79,1947,15.3,0.544,0.343,0.302,5.9,11.8,8.8,8.4,2.7,2.2,8.3,15.5,,3.5,2.3,5.9,0.145,,1.1,1.5,2.6,2.3
96,Rasho Nesterović,C,27,SAS,82,2353,15.3,0.473,0,0.163,12.4,17.6,15,8.4,1.2,5.1,12.5,16.8,,1.6,5.6,7.2,0.147,,-1.1,2.2,1.1,1.9
97,Derek Anderson,SG,29,POR,51,1810,15.1,0.499,0.423,0.307,1.7,10.2,6,21.1,2,0.1,11.5,20.5,,2.7,0.9,3.6,0.097,,0.8,-0.5,0.3,1
98,Chris Bosh*,C,19,TOR,75,2510,15.1,0.513,0.02,0.404,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,,2.5,3.8,6.2,0.119,,-1.2,0.5,-0.8,0.8
99,Mike Dunleavy,SF,23,GSW,75,2336,15.1,0.547,0.353,0.257,4.2,17.2,10.7,16.1,1.6,0.4,15.1,18.6,,3,2.2,5.2,0.107,,1,0.3,1.3,2
