Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,PF,28,MIA,76,2877,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,0.322,,9.3,2.4,11.7,9.9
2,Kevin Durant,SF,24,OKC,81,3119,28.3,0.647,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,,13.6,5.3,18.9,0.291,,7.6,1.7,9.3,8.9
3,Chris Paul,PG,27,LAC,70,2335,26.4,0.594,0.271,0.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,,10.6,3.4,13.9,0.287,,6.4,2.4,8.8,6.4
4,Carmelo Anthony,PF,28,NYK,67,2482,24.8,0.56,0.278,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,,7.5,2,9.5,0.184,,6,-1.7,4.3,3.9
5,Brook Lopez,C,24,BRK,74,2253,24.7,0.567,0.001,0.358,10.8,16.1,13.4,6.4,0.8,5.2,9.4,28.6,,6.4,2.6,9,0.191,,3.4,-0.2,3.2,3
6,Tim Duncan*,C,36,SAS,69,2078,24.4,0.554,0.007,0.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,,3.4,4.9,8.3,0.191,,2.4,2.9,5.3,3.8
7,Dwyane Wade,SG,31,MIA,69,2391,24,0.571,0.06,0.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,,6.1,3.5,9.6,0.192,,3.7,0.7,4.4,3.8
8,Russell Westbrook,PG,24,OKC,82,2861,23.9,0.532,0.195,0.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,,7.7,3.9,11.6,0.195,,4.6,-0.2,4.4,4.6
9,Kobe Bryant*,SG,34,LAL,78,3013,23,0.57,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,,8.4,2.6,10.9,0.174,,4.7,-0.1,4.6,5
10,Tony Parker,PG,30,SAS,66,2174,23,0.588,0.068,0.332,1,9.1,5.3,40.4,1.3,0.2,13,27.7,,7.1,2.3,9.3,0.206,,4.1,-0.5,3.6,3.1
11,James Harden,SG,23,HOU,78,2985,22.9,0.6,0.364,0.592,2.4,11.9,7.2,25.7,2.4,1,14.9,29,,9.8,3,12.8,0.206,,5.2,0.5,5.6,5.8
12,Blake Griffin,PF,23,LAC,80,2598,22.4,0.572,0.026,0.397,8.7,21.5,15.2,19.9,2,1.6,12.8,25.4,,6.8,3.9,10.6,0.196,,3.2,0.8,4.1,4
13,Andray Blatche,C,26,BRK,82,1555,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3,2.7,13.8,26.5,,2.4,2.5,4.9,0.153,,1.3,0.9,2.2,1.6
14,Anthony Davis,PF,19,NOH,64,1846,21.7,0.559,0.009,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,,3.7,2.4,6.1,0.159,,1.8,0.7,2.5,2.1
15,Kyrie Irving,PG,20,CLE,59,2048,21.4,0.553,0.261,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,,4.2,1.1,5.3,0.125,,4.3,-0.7,3.7,3
