Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,SF,21,CLE,79,3361,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2,1.5,10.7,33.6,,12,4.3,16.3,0.232,,7.5,1.6,9.1,9.4
2,Dirk Nowitzki,PF,27,DAL,81,3089,28.1,0.589,0.173,0.382,4.6,23.4,14.2,14.7,1,2.1,7.9,30,,13.5,4.3,17.7,0.275,,7.8,0.4,8.1,7.9
3,Kobe Bryant*,SG,27,LAL,80,3277,28,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,,11.6,3.7,15.3,0.224,,7.4,0.2,7.6,8
4,Dwyane Wade,SG,24,MIA,75,2892,27.6,0.577,0.054,0.568,4.5,12.6,8.7,33,2.6,1.5,13.2,32.5,,10.2,4.2,14.4,0.239,,5.9,1.8,7.7,7.1
5,Kevin Garnett*,PF,29,MIN,76,2957,26.8,0.589,0.025,0.411,8.9,29.7,19.6,20.2,1.9,2.7,11.3,25.5,,9,5.9,14.9,0.242,,5.6,2.2,7.8,7.4
6,Elton Brand,PF,26,LAC,79,3099,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,,9.3,5.5,14.8,0.229,,5.1,1.6,6.7,6.8
7,Allen Iverson*,PG,30,PHI,72,3103,25.9,0.543,0.122,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,,8.8,1.8,10.6,0.165,,5.8,-1,4.8,5.3
8,Yao Ming*,C,25,HOU,57,1949,25.6,0.592,0.001,0.439,9.1,25.6,17.5,9.8,0.8,3.9,12,29.9,,5,3.5,8.6,0.211,,3.5,0.9,4.4,3.2
9,Shaquille O'Neal*,C,33,MIA,59,1806,24.4,0.586,0,0.589,11.7,23.1,17.6,12.4,0.7,4.4,14.3,30,,3.3,2.9,6.2,0.164,,2.4,0.3,2.7,2.1
10,Gilbert Arenas,PG,24,WAS,80,3384,23.8,0.581,0.324,0.479,2,7.8,4.8,27,2.5,0.6,12.8,30.5,,11,2.6,13.6,0.193,,5.4,0,5.4,6.3
11,Shawn Marion,PF,27,PHO,81,3263,23.6,0.591,0.212,0.218,8.7,23.6,16.3,6.8,2.5,2.9,7.7,22.3,,8.6,5.9,14.6,0.214,,3.5,1.3,4.8,5.6
12,Paul Pierce*,SF,28,BOS,79,3084,23.6,0.582,0.215,0.555,3.1,17.5,10.5,23.4,1.8,0.8,13,31.2,,8.3,3.2,11.5,0.178,,5,-0.2,4.8,5.3
13,Chauncey Billups,PG,29,DET,81,2925,23.4,0.602,0.42,0.514,1.6,8.7,5.1,39.3,1.3,0.2,12,22.9,,12.7,2.8,15.5,0.254,,6.2,0.1,6.2,6.1
14,Steve Nash*,PG,31,PHO,79,2796,23.3,0.632,0.324,0.264,1.9,11.1,6.6,44.4,1.1,0.3,19,23.3,,10.3,2.1,12.4,0.212,,5.7,-0.7,5,4.9
15,Chris Bosh*,C,21,TOR,70,2751,23.2,0.585,0.012,0.534,8.7,20.6,14.4,11.8,1,2.3,10.5,25.2,,8.7,1.1,9.8,0.17,,3.9,-1,2.9,3.4
16,Tim Duncan*,PF,29,SAS,80,2784,23.1,0.523,0.004,0.45,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,,3.9,6.9,10.8,0.187,,2.3,2.6,5,4.9
17,Pau Gasol,PF,25,MEM,80,3135,22.7,0.555,0.01,0.517,7.5,20,13.8,23.7,0.8,3.9,13.8,26.4,,6.6,5.4,12,0.184,,3.9,1.7,5.5,6
18,Manu Ginóbili*,SG,28,SAS,65,1813,22.4,0.593,0.324,0.538,2.8,12,7.5,22.2,3,1,12.8,25,,5.1,3.7,8.8,0.234,,3.8,3,6.8,4.1
19,Ray Allen*,SG,30,SEA,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,0.15,,6.4,-2,4.4,4.9
20,Chris Paul,PG,20,NOK,78,2808,22.1,0.546,0.187,0.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,,6.8,3.6,10.4,0.178,,3,2.2,5.2,5.1
21,Carmelo Anthony,SF,21,DEN,80,2941,22,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32,,6.8,2.6,9.4,0.153,,3.5,-0.9,2.7,3.5
22,Zydrunas Ilgauskas,C,30,CLE,78,2283,21.9,0.576,0.006,0.427,12.6,18.1,15.3,7.4,0.9,4.6,12.8,24.6,,5.6,3.1,8.7,0.184,,1.4,0.2,1.6,2.1
23,Tracy McGrady*,SF,26,HOU,47,1745,21.9,0.494,0.231,0.336,3.1,17.2,10.3,28.8,1.8,1.9,9.4,35,,1.4,2.7,4.1,0.112,,4.8,0.7,5.4,3.3
24,Vince Carter,SG,29,NJN,79,2906,21.6,0.536,0.242,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,,4.9,4.4,9.3,0.153,,4.5,0.5,5.1,5.2
25,Gerald Wallace,SF,23,CHA,55,1895,21.3,0.578,0.085,0.52,7.1,18.9,12.6,8.8,3.7,4.7,12,19.3,,3,3.4,6.4,0.163,,2,2.9,4.9,3.2
26,Michael Redd,SG,26,MIL,80,3130,21.2,0.574,0.272,0.377,2.9,10.2,6.5,13.8,1.6,0.1,8.8,28.3,,8.8,2,10.8,0.166,,4.7,-0.9,3.8,4.6
27,Tony Parker,PG,23,SAS,80,2715,20.8,0.584,0.032,0.315,1.7,9.5,5.7,32.2,1.7,0.1,16.1,27.1,,5.5,4.1,9.6,0.169,,2.4,0.4,2.8,3.3
28,Andrei Kirilenko,SF,24,UTA,69,2604,20.7,0.556,0.16,0.678,7.4,18.4,12.9,20.5,2.1,7,17.6,20.5,,3.6,4.3,7.9,0.145,,3.4,3.1,6.6,5.6
29,Jermaine O'Neal,PF,27,IND,51,1802,20.4,0.53,0.012,0.457,6.7,23.2,15.2,14.9,0.8,4.7,13.5,28.9,,1.4,3.5,4.9,0.131,,0.6,1.7,2.3,2
30,Rashard Lewis,SF,26,SEA,78,2876,20,0.585,0.321,0.372,4.6,11.9,8.2,10.7,1.9,1.3,9.5,23.1,,8.2,0.1,8.3,0.138,,4.2,-1.6,2.7,3.4
31,Marcus Camby,C,31,DEN,56,1857,19.9,0.499,0.017,0.24,8.4,33.3,21,10.2,2.2,7.5,11.4,19.5,,1,4.5,5.5,0.141,,0.1,3.3,3.5,2.6
32,Mike James,PG,30,TOR,79,2925,19.8,0.583,0.311,0.275,1.8,9.5,5.5,28.2,1.3,0.1,13,25,,7.7,-0.1,7.6,0.125,,4,-2.2,1.8,2.9
33,David West,PF,25,NOK,74,2526,19.7,0.554,0.011,0.228,7.7,18.4,12.9,7.2,1.3,2.1,8.4,23,,4.8,2.6,7.4,0.141,,1.8,-0.3,1.4,2.2
34,Jameer Nelson,PG,23,ORL,62,1784,19.5,0.567,0.229,0.252,2.8,9.5,6.2,31.5,2.1,0.4,15.6,25.1,,3.5,1.4,4.9,0.132,,2.6,-0.6,2,1.8
35,Dwight Howard,PF,20,ORL,82,3021,19.3,0.565,0.002,0.679,12.1,29.2,20.9,7.2,1.2,3,15.9,21.3,,4.2,4.4,8.6,0.137,,1.1,-0.1,1,2.3
36,Josh Howard,SF,25,DAL,59,1915,19.3,0.536,0.085,0.359,7.9,15.3,11.7,10.4,1.9,1,8.4,22.9,,4.4,2.3,6.7,0.168,,2.2,0,2.2,2
37,Jason Kidd*,PG,32,NJN,80,2975,19.2,0.526,0.436,0.27,3.3,19.8,11.4,39,2.7,0.8,15.9,19.1,,4.5,5.6,10.1,0.163,,2.8,2.6,5.4,5.5
38,Jason Richardson,SG,25,GSW,75,2877,19.2,0.538,0.332,0.285,4,13.2,8.5,15.6,1.7,1,9.4,27.6,,4.5,2.8,7.3,0.122,,3.4,-0.3,3.1,3.7
39,Mehmet Okur,PF,26,UTA,82,2945,19,0.554,0.207,0.402,8.6,22.2,15.4,12.8,0.7,2.1,10.9,23.5,,6.3,3,9.3,0.152,,2.4,-0.8,1.6,2.7
40,Richard Jefferson,SF,25,NJN,78,3059,18.9,0.603,0.187,0.577,3.6,17.1,10.2,18,1,0.4,12.1,22.1,,7.6,4.1,11.7,0.184,,2.6,0.5,3.1,3.9
41,Sam Cassell,PG,36,LAC,78,2653,18.5,0.534,0.171,0.301,1.8,10.4,6.3,32.5,1.5,0.3,12.2,25,,4.8,2.8,7.6,0.137,,2.1,-0.5,1.6,2.4
42,Jason Terry,PG,28,DAL,80,2798,18.4,0.575,0.379,0.191,1.4,5.4,3.4,19.6,2,0.7,10.2,22.2,,7.4,2.3,9.6,0.165,,3.6,-0.2,3.3,3.7
