Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,SF,23,CLE,75,3027,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,,10.7,4.6,15.2,0.242,,8.2,2.6,10.9,9.8
2,Chris Paul,PG,22,NOH,80,3006,28.3,0.576,0.193,0.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,,13.2,4.6,17.8,0.284,,7.2,3.2,10.4,9.3
3,Amar'e Stoudemire,C,25,PHO,79,2677,27.6,0.656,0.026,0.571,8.2,21.1,15.2,7.5,1.2,4,10.3,28.2,,10.9,3.8,14.6,0.262,,4.2,0.6,4.8,4.6
4,Kevin Garnett*,PF,31,BOS,71,2328,25.3,0.588,0.011,0.339,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,,6.6,6.2,12.9,0.265,,4.7,3.5,8.2,6
5,Dirk Nowitzki,PF,29,DAL,77,2769,24.6,0.585,0.167,0.414,4.1,22.8,13.8,17.8,1,1.9,9.3,28.8,,8.9,4,12.9,0.223,,5.6,1,6.6,6
6,Tim Duncan*,C,31,SAS,78,2651,24.4,0.546,0.003,0.393,10.7,28.3,19.6,15.7,1.1,4.3,11.4,28.2,,4.9,6.2,11.1,0.201,,3,2.2,5.2,4.8
7,Manu Ginóbili*,SG,30,SAS,74,2299,24.3,0.612,0.395,0.449,3.3,14.7,9.1,26.4,2.6,1.1,14.5,28.7,,6.6,4.5,11.1,0.232,,5.6,2.7,8.3,6
8,Kobe Bryant*,SG,29,LAL,82,3192,24.2,0.576,0.246,0.439,3.4,14.1,9,23.9,2.4,0.9,11.3,31.4,,9.5,4.3,13.8,0.208,,5.2,0.6,5.8,6.3
9,Chris Bosh*,C,23,TOR,67,2425,23.8,0.588,0.024,0.544,8.4,20.1,14.2,12.1,1.4,2.2,10.7,27.7,,7,3.1,10.1,0.2,,4,0.4,4.4,3.9
10,Chauncey Billups,PG,31,DET,78,2522,23.6,0.619,0.39,0.498,2,8.1,5,34.7,2.2,0.5,13,23,,10.2,3.4,13.5,0.257,,6.5,1.2,7.7,6.2
11,Dwight Howard,C,22,ORL,82,3088,22.9,0.619,0.004,0.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,,6.4,6.4,12.9,0.2,,1.6,1.2,2.8,3.7
12,Al Jefferson,C,23,MIN,82,2919,22.7,0.535,0.003,0.273,11.9,24.7,18.1,7.5,1.3,3.2,9.4,27.5,,4.8,2.9,7.7,0.127,,2.8,-1.2,1.6,2.6
13,Yao Ming*,C,27,HOU,55,2044,22.5,0.587,0.002,0.477,9.6,22.9,16.4,11.5,0.6,4,15.1,27.1,,4.2,4.1,8.3,0.196,,1.8,1.6,3.4,2.8
14,Carlos Boozer,PF,26,UTA,81,2827,21.9,0.581,0.001,0.303,8.6,27.7,18.2,14.2,1.8,1.2,12.5,26.6,,5.9,4.3,10.2,0.173,,2.5,0.3,2.8,3.5
